Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:21:00,30:26:00,Mait Patrail (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 30:26.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:04:00,,"Block von Marian Michalczik, der den Torwurf von Andreas Bornemann verhindert.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:11:00,30:25:00,"Neuer Spielstand in Hannover, 29:25 durch den Treffer 6M von Renars Uscins für Hannover-Burgdorf.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:22:00,,Alexander Schulze mit dem Lattenkracher. Was für ein Pech.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:16:00,29:25:00,"Neuer Spielstand in Hannover, 29:25 durch den Treffer 6M von Renars Uscins für Hannover-Burgdorf.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:44:00,,Andreas Bornemann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:44:00,28:25:00,Yonatan Dayan (ASV Hamm-Westfalen) legt den Treffer von Mait Patrail auf. Es steht 28:25.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:41:00,,"54:44:00 28:24:00 Tor! Es war Marian Michalczik (Hannover-Burgdorf), der das Tor von Hannes Feise vorbereitete.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:12:00,,54:12:00 Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Andreas Bornemann.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:03:00,27:24:00,"Neuer Spielstand in Hannover, 27:24 durch den Treffer von Daniel Weber für Hannover-Burgdorf.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:19:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
53:19:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
53:10:00,26:24:00,Der 7-Meter wurde von Fabian Huesmann (ASV Hamm-Westfalen) erfolgreich verwandelt.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
53:10:00,,52:33:00 Fehlwurf von Renars Uscins (Hannover-Burgdorf).,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
51:48:00,26:23:00,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
51:43:00,,"Nach einem harten Foul hat Maximilian Gerbl (Hannover-Burgdorf) nun zwei Minuten Zeit, um sich auszuruhen.",Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
51:28:00,,Auszeit ASV Hamm-Westfalen,Hannover-Burgdorf,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
51:28:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:48:00,,50:57:00 26:22:00 Evgeni Pevnov (Hannover-Burgdorf) trifft zum Spielstand von 26:22 in ZAG Arena.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:41:00,25:22:00,Tor (6M)! Mait Patrail (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 25:22.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:05:00,25:21:00,50:05:00 25:21:00 Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 25:21.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
49:07:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
48:51:00,,Felix Hertlein (ASV Hamm-Westfalen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48:50:00,24:21:00,48:50:00 24:21:00 Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48:14:00,,Torwartwechsel bei ASV Hamm-Westfalen. Vladimir Bozic kommt für Felix Hertlein.,Hannover-Burgdorf,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
