Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:42:00,32:33:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 32:33.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
59:30:00,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Tim Freihöfer.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
59:02:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
58:55:00,31:33:00,Mijajlo Marsenic (Füchse Berlin) trifft zum Spielstand von 31:33 in ZAG Arena.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
58:14:00,31:32:00,"Tor von der 7-Meter Linie von Maximilian Gerbl (Hannover-Burgdorf), neuer Spielstand 31:32.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
57:52:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,0,0,1,0,0,0,0,0
57:54:00,,Auszeit Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,1,0,0,0,0,0,0,0
57:52:00,30:32:00,Mathias Gidsel (Füchse Berlin) trifft von (6M). Neuer Spielstand in ZAG Arena: 30:32.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
57:47:00,,Zeitstrafe vorbei Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
57:29:00,,"Gute Torchance, aber Uladzislau Kulesh (Hannover-Burgdorf) kann diese nicht erfolgreich verwandeln.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
56:57:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,0,0,1,0,1,0,0,0
56:52:00,30:31:00,Tor! Tim Freihöfer (Füchse Berlin) netzt ein zum neuen Spielstand von 30:31.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
56:41:00,30:30:00,"Neuer Spielstand in Hannover, 30:30 durch den Treffer 6M von Veit Mävers für Hannover-Burgdorf.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
56:06:00,29:30:00,Robert Weber (Füchse Berlin) trifft von der 7-Meter Linie und bringt den Spielstand auf 29:30.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
55:43:00,,Maximilian Gerbl (Hannover-Burgdorf) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,1
55:30:00,29:29:00,"Neuer Spielstand in Hannover, 29:29 durch den Treffer von Branko Vujovic für Hannover-Burgdorf.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
55:10:00,,Auszeit Füchse Berlin.,Hannover-Burgdorf,Füchse Berlin,0,1,0,0,0,0,0,0
54:56:00,28:29:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft zum Spielstand von 28:29 in ZAG Arena.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
54:45:00,,Fehlwurf von Lasse Bredekjaer Andersson (Füchse Berlin).,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
54:21:00,,Es gibt Gelb für Christian Prokop (Hannover-Burgdorf) von Kolb/Kauth.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
53:24:00,,Zeitstrafe vorbei Füchse Berlin.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,1,0,0
53:16:00,27:29:00,Tor (LA)! Hannes Feise (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:29.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,1,0,0
52:34:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,1,0,0
51:52:00,,Zeitstrafe vorbei Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,1,0,0
51:50:00,,Siebter Spieler eingewechselt Füchse Berlin.,Hannover-Burgdorf,Füchse Berlin,0,0,0,1,1,1,0,0
51:37:00,26:29:00,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 26:29.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,1,0,0
51:16:00,,Marko Kopljar (Füchse Berlin) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,1,1,0
51:00:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,0,0,1,0,1,0,0,0
50:35:00,,Ilija Brozovic von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
50:00:00,25:29:00,Robert Weber (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 25:29.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,0
49:42:00,,2-Minuten-Strafe für Evgeni Pevnov. Hannover-Burgdorf muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,1,0,0,1
48:59:00,25:28:00,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 25:28.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
48:47:00,24:28:00,Paul Drux (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 24:28.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
48:04:00,,Parade von Torwart Dejan Milosavljev (Füchse Berlin).,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
47:42:00,,Auszeit Hannover-Burgdorf.,Hannover-Burgdorf,Füchse Berlin,1,0,0,0,0,0,0,0
47:27:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Mathias Gidsel.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
46:06:00,24:27:00,Fabian Wiede von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
45:13:00,23:27,Renars Uscins (Hannover-Burgdorf) trifft zum Spielstand von 23:27 in ZAG Arena.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
45:00:00,22:27,Fabian Wiede (Füchse Berlin) trifft von (6M). Neuer Spielstand in ZAG Arena: 22:27.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
44:15:00,,Überragende Parade des Torwarts Dejan Milosavljev (Füchse Berlin)! Marian Michalczik kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
44:06:00,22:26,"Neuer Spielstand in Hannover, 22:26 durch den Treffer von Lasse Bredekjaer Andersson für Füchse Berlin.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
43:23:00,22:25,Tor (6M)! Vincent Büchner (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 22:25.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
43:12:00,21:25,"Neuer Spielstand in Hannover, 21:25 durch den Treffer 6M von Lasse Bredekjaer Andersson für Füchse Berlin.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
42:44:00,21:24,Vincent Büchner (Hannover-Burgdorf) trifft zum Spielstand von 21:24 in ZAG Arena.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
42:30:00,,"Wurf von Marian Michalczik (Hannover-Burgdorf), aber der Ball landet nur am Pfosten.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
42:23:00,20:24,Tor! Nils Lichtlein (Füchse Berlin) netzt ein zum neuen Spielstand von 20:24.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
42:06:00,20:23,Justus Fischer (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 20:23.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
41:40:00,19:23,"Neuer Spielstand in Hannover, 19:23 durch den Treffer von Robert Weber für Füchse Berlin.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
41:27:00,,Maximilian Gerbl (Hannover-Burgdorf) trifft nur den Pfosten.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
41:13:00,,Tim Freihöfer (Füchse Berlin) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
40:51:00,,Vincent Büchner von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
40:44:00,19:22,Tor (RM/fern)! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 19:22.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
40:21:00,,Auszeit Füchse Berlin,Hannover-Burgdorf,Füchse Berlin,0,1,0,0,0,0,0,0
40:14:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Vincent Büchner.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
39:27:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
38:44:00,19:21,Robert Weber (Füchse Berlin) trifft von der 7-Meter Linie.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
38:02:00,,Renars Uscins von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
37:50:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
37:23:00,,Jaron Siewert (Füchse Berlin) bekommt die Gelbe Karte von Kolb/Kauth gezeigt.,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
37:01:00,19:20,"Neuer Spielstand in Hannover, 19:20 durch den Treffer 6M von Justus Fischer für Hannover-Burgdorf.",Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
36:51:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,Füchse Berlin,0,0,0,0,0,0,0,0
