Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:54:00,,Parade von Torwart Dario Quenstedt (Hannover-Burgdorf).,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
59:45:00,,Justin Wollny mit dem Lattenkracher. Was für ein Pech.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
59:03:00,32:19:00,Tor! Martin Hanne (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 32:19.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
58:24:00,31:19:00,Sveinn Johannsson (GWD Minden) überwindet den Torwart zum neuen Spielstand von 31:19.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
58:17:00,,Branko Vujovic von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
57:38:00,31:18:00,Tor (6M)! Mathias Bitsch (GWD Minden) netzt ein zum neuen Spielstand von 31:18.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
57:02:00,,Fehlwurf von Martin Hanne (Hannover-Burgdorf).,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
56:51:00,,"Philipp Ahouansou wirft auf das Tor, trifft aber nur den Pfosten.",Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
56:23:00,,"Martin Hanne (RM/fern) wirft, jedoch neben das Tor.",Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
55:50:00,,Dario Quenstedt (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
55:49:00,,Torwartwechsel bei Hannover-Burgdorf. Dario Quenstedt kommt für Domenico Ebner.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
55:37:00,31:17:00,Tor! Justin Wollny (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 31:17.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
55:31:00,,"Parade des Torwarts von GWD Minden, Yahav Shamir.",Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
54:57:00,,Mathias Bitsch (GWD Minden) trifft zum Spielstand von 30:17 in ZAG Arena.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
54:25:00,,"Neuer Spielstand in Hannover, 30:16 durch den Treffer 6M von Sveinn Johannsson für GWD Minden.",Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
54:06:00,,Yahav Shamir (GWD Minden) hält den Wurf von Justin Wollny.,Hannover-Burgdorf,GWD Minden,0,0,0,0,0,0,0,0
