Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,26:26:00,Der Wurf von Uladzislau Kulesh (Hannover-Burgdorf) landet hinter dem Tor.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,1,0,0
59:30:00,26:26:00,Timo Kastening (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 26:26.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,1,0,0
59:02:00,26:25:00,"Neuer Spielstand in Hannover, 26:25 durch den Treffer 6M von Elvar Örn Jonsson für MT Melsungen.",Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,1,0,0
58:50:00,,Siebter Spieler eingewechselt MT Melsungen,Hannover-Burgdorf,MT Melsungen,0,0,0,1,0,1,0,0
58:43:00,26:24:00,Tor (6M)! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 26:24.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,1,0,0
58:31:00,,Auszeit Hannover-Burgdorf,Hannover-Burgdorf,MT Melsungen,1,0,0,0,0,1,0,0
58:12:00,,Es gibt eine 2 Minuten Strafe für Gleb Kalarash (MT Melsungen).,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,1,1,0
57:48:00,25:24:00,"Neuer Spielstand in Hannover, 25:24 durch den Treffer LA von David Mandic für MT Melsungen.",Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
57:31:00,,Technischer Fehler MT Melsungen,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
56:42:00,,"Wurf von Elvar Örn Jonsson (MT Melsungen), aber der Ball landet nur am Pfosten.",Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
55:33:00,25:23:00,Tor! Ilija Brozovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 25:23.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
54:44:00,24:23:00,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 24:23.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
54:09:00,24:22:00,Vincent Büchner (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 24:22.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
53:20:00,23:22,Tor (LA)! Vincent Büchner (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 23:22.,Hannover-Burgdorf,MT Melsungen,0,0,0,0,0,0,0,0
