Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,28:27:00,Tilen Kodrin (VfL Gummersbach) trifft zum Spielstand von 28:27 in ZAG Arena.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
59:39:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
59:25:00,28:26:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft von (6M). Neuer Spielstand in ZAG Arena: 28:26.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
59:14:00,,"Chance für Branko Vujovic (Hannover-Burgdorf), er trifft aber nur den Pfosten.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
58:40:00,28:25:00,Tor (6M)! Mathis Häseler (VfL Gummersbach) netzt ein zum neuen Spielstand von 28:25.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
58:32:00,28:24:00,Tor (6M)! Evgeni Pevnov (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 28:24.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
57:54:00,,Auszeit Hannover-Burgdorf,Hannover-Burgdorf,VfL Gummersbach,1,0,0,0,0,0,0,0
57:32:00,27:24:00,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 27:24.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
57:26:00,,Parade von Torwart Dario Quenstedt (Hannover-Burgdorf).,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
56:14:00,,Lattenkracher von Ellidi Snaer Vidarsson (VfL Gummersbach).,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
55:59:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic hält den Wurf von Vincent Büchner.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
55:21:00,27:23:00,Julian Köster (VfL Gummersbach) trifft von (6M). Neuer Spielstand in ZAG Arena: 27:23.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
55:17:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,0
55:10:00,,Uladzislau Kulesh von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,0
54:41:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,VfL Gummersbach,0,0,1,0,1,0,0,0
54:34:00,27:22:00,Der 7-Meter wurde von Dominik Mappes (VfL Gummersbach) erfolgreich verwandelt.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,0
54:29:00,,"Uladzislau Kulesh (6M) wirft, jedoch neben das Tor.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,0
53:26:00,27:21:00,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 27:21.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,0
53:12:00,,Hannes Feise (Hannover-Burgdorf) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,1,0,0,1
53:02:00,,Evgeni Pevnov von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
52:21:00,,Dario Quenstedt (Hannover-Burgdorf) hält den Wurf von Hakon Dadi Styrmisson.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
51:43:00,27:20:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft zum Spielstand von 27:20 in ZAG Arena.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
51:03:00,,Dario Quenstedt (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
50:54:00,26:20:00,"Neuer Spielstand in Hannover, 26:20 durch den Treffer 6M von Evgeni Pevnov für Hannover-Burgdorf.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
50:26:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,VfL Gummersbach,0,0,1,0,0,0,0,0
50:12:00,,"Hakon Dadi Styrmisson wirft auf das Tor, trifft aber nur den Pfosten.",Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
50:03:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,Hannover-Burgdorf,VfL Gummersbach,0,0,0,0,0,0,0,0
49:29:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,VfL Gummersbach,0,0,1,0,0,0,0,0
