,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,"Block von Tom Kare Nikolaisen, der den Torwurf von André Gomes verhindert.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
2,59:43:00,,Auszeit MT Melsungen,MT Melsungen,Bergischer HC,1,0,0,0,0,0,0,0
3,59:43:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Bergischer HC,0,0,1,0,0,0,0,0
4,59:06:00,,Der Wurfversuch von Fabian Gutbrod (Bergischer HC) wurde durch einen Block von Gleb Kalarash verhindert.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
5,58:54:00,,Auszeit Bergischer HC,MT Melsungen,Bergischer HC,0,1,0,0,0,0,0,0
6,58:44:00,,Siebter Spieler eingewechselt Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,1,0,0,0,0
7,57:08:00,22:22,Fabian Gutbrod (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Rothenbach-Halle: 22:22.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
8,56:43:00,,Zeitstrafe vorbei Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
9,56:37:00,,Siebter Spieler eingewechselt Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,1,0,1,0,0
10,56:19:00,22:21,"Neuer Spielstand in Kassel, 22:21 durch den Treffer RA von Julian Fuchs für MT Melsungen.",MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
11,55:33:00,,Siebter Spieler eingewechselt Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,1,0,1,0,0
12,55:06:00,21:21,Julian Fuchs (MT Melsungen) trifft zum Spielstand von 21:21 in Rothenbach-Halle.,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
13,54:40:00,,Djibril M'Bengue (Bergischer HC) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,MT Melsungen,Bergischer HC,0,0,0,0,0,1,1,0
14,53:54:00,20:21,Tor (6M)! Fabian Gutbrod (Bergischer HC) netzt ein zum neuen Spielstand von 20:21.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
15,53:34:00,,Auszeit Bergischer HC,MT Melsungen,Bergischer HC,0,1,0,0,0,0,0,0
16,53:34:00,,Siebter Spieler eingewechselt Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,1,0,0,0,0
17,53:29:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Agustin Casado Marcelo.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
18,53:17:00,,Tomas Babak von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
19,52:12:00,,Fehlwurf von Elvar Örn Jonsson (MT Melsungen).,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
20,51:47:00,,Der Wurf von Christopher Rudeck (Bergischer HC) landet hinter dem Tor.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
21,51:46:00,,Zupanovic/Thone verwarnen Arjan Haenen (MT Melsungen) mit einer Gelben Karte.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
22,51:39:00,,Kai Häfner (MT Melsungen) scheitert am Torwart Christopher Rudeck (Bergischer HC).,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
23,51:23:00,,Auszeit MT Melsungen,MT Melsungen,Bergischer HC,1,0,0,0,0,0,0,0
24,51:23:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Bergischer HC,0,0,1,0,0,0,0,0
25,50:38:00,20:20,"Neuer Spielstand in Kassel, 20:20 durch den Treffer 6M von Arnar Freyr Arnarsson für MT Melsungen.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
26,50:03:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Lukas Stutzke.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
27,49:33:00,,"Der Trainer von Bergischer HC, Jamal Naji stellt nun Christopher Rudeck zwischen die Pfosten.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
28,49:22:00,,Peter Johannesson (Bergischer HC) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
29,49:20:00,,Der Strafwurf von Aidenas Malasinskas wurde von Peter Johannesson (Bergischer HC) gehalten.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
30,49:03:00,,Tomas Babak von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
31,48:12:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
32,47:20:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
33,46:42:00,,Zeitstrafe vorbei Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
34,46:19:00,19:20,Agustin Casado Marcelo (MT Melsungen) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 19:20.,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
35,45:48:00,18:20,Fabian Gutbrod (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Rothenbach-Halle: 18:20.,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
36,45:18:00,,Siebter Spieler eingewechselt Bergischer HC,MT Melsungen,Bergischer HC,0,0,0,1,0,1,0,0
37,44:54:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Dimitri Ignatow kann den Ball nicht im Tor unterbringen!,MT Melsungen,Bergischer HC,0,0,0,0,0,1,0,0
38,44:33:00,,2-Minuten-Strafe für Noah Beyer. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,MT Melsungen,Bergischer HC,0,0,0,0,0,1,1,0
39,44:03:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Bergischer HC,0,0,1,0,0,0,0,0
40,43:54:00,18:19,Tor! Fabian Gutbrod (Bergischer HC) netzt ein zum neuen Spielstand von 18:19.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
41,43:05:00,18:18,André Gomes (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 18:18.,MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
42,42:11:00,17:18,"Neuer Spielstand in Kassel, 17:18 durch den Treffer von Noah Beyer für Bergischer HC.",MT Melsungen,Bergischer HC,0,0,0,0,0,0,0,0
