,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:29:00,29:32:00,"Neuer Spielstand in Kassel, 29:32 durch den Treffer von Kai Häfner für MT Melsungen.",MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
2,59:06:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
3,58:57:00,28:32:00,Tor (6M)! Mijajlo Marsenic (Füchse Berlin) netzt ein zum neuen Spielstand von 28:32.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
4,58:47:00,,Auszeit Füchse Berlin,MT Melsungen,Füchse Berlin,0,1,0,0,0,0,0,0
5,57:54:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
6,57:42:00,28:31:00,Mathias Gidsel (Füchse Berlin) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 28:31.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
7,57:33:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
8,57:27:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
9,56:27:00,,Kai Häfner (MT Melsungen) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
10,56:11:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
11,56:08:00,,Nebojsa Simic (MT Melsungen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
12,56:00:00,28:30:00,Tor! Hans Lindberg (Füchse Berlin) netzt ein zum neuen Spielstand von 28:30.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
13,55:15:00,28:29:00,Kai Häfner (MT Melsungen) trifft von (RM/fern). Neuer Spielstand in Rothenbach-Halle: 28:29.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
14,54:44:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Füchse Berlin,0,0,1,0,0,0,0,0
15,54:35:00,27:29:00,"Tor von der 7-Meter Linie von Hans Lindberg (Füchse Berlin), neuer Spielstand 27:29.",MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
16,54:08:00,,Der Wurfversuch von Ivan Martinovic (MT Melsungen) wurde durch einen Block von Mijajlo Marsenic verhindert.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
17,53:44:00,27:28:00,"Neuer Spielstand in Kassel, 27:28 durch den Treffer von Tim Freihöfer für Füchse Berlin.",MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
18,53:29:00,27:27:00,Tor! Dimitri Ignatow (MT Melsungen) netzt ein zum neuen Spielstand von 27:27.,MT Melsungen,Füchse Berlin,0,0,0,0,0,0,0,0
