Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
59:35:00,31:28:00,Julian Fuchs (MT Melsungen) überwindet den Torwart von (RA) zum neuen Spielstand von 31:28.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
59:20:00,,Auszeit MT Melsungen,MT Melsungen,GWD Minden,1,0,0,0,0,0,0,0
59:10:00,30:28:00,Mathias Bitsch (GWD Minden) überwindet den Torwart zum neuen Spielstand von 30:28.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
58:40:00,,Aidenas Malasinskas von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
58:40:00,30:27:00,Tor! Mohamed Amine Darmoul (GWD Minden) netzt ein zum neuen Spielstand von 30:27.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
57:59:00,,Auszeit GWD Minden,MT Melsungen,GWD Minden,0,1,0,0,0,0,0,0
57:46:00,,Malte Semisch (GWD Minden) mit einer Parade.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
57:25:00,30:26:00,Gil Kunkel (GWD Minden) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 30:26.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
56:56:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Philipp Ahouansou.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
55:13:00,,"Wurf von André Gomes (MT Melsungen), aber der Ball landet nur am Pfosten.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
54:59:00,30:25:00,"Neuer Spielstand in Kassel, 30:25 durch den Treffer LA von Elvar Örn Jonsson für MT Melsungen.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
54:17:00,,"Gute Torchance, aber Philipp Ahouansou (GWD Minden) kann diese nicht erfolgreich verwandeln.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
53:29:00,,André Gomes (MT Melsungen) trifft nur den Pfosten.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
52:21:00,,Mathias Bitsch von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
51:44:00,,Malte Semisch (GWD Minden) hält den Wurf von Gleb Kalarash.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
51:37:00,29:25:00,Mohamed Amine Darmoul (GWD Minden) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 29:25.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
51:37:00,,Elvar Örn Jonsson von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
51:37:00,29:24:00,André Gomes (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:24.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
51:37:00,,Parade von Torwart Adam Morawski (MT Melsungen).,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
49:15:00,,"Doruk Pehlivan wirft auf das Tor, trifft aber nur den Pfosten.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
49:07:00,,48:33:00 28:24:00 Der 7-Meter wurde von Aidenas Malasinskas (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
47:53:00,,"Philipp Ahouansou (RM/fern) wirft, jedoch neben das Tor.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
47:44:00,27:24:00,27:24:00 Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 27:24.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
47:17:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
47:01:00,,Tomas Urban von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
47:01:00,,Auszeit GWD Minden,MT Melsungen,GWD Minden,0,1,0,0,0,0,0,0
46:24:00,,"45:37:00 26:24:00 Neuer Spielstand in Kassel, 26:24 durch den Treffer LA von Elvar Örn Jonsson für MT Melsungen.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
44:43:00,,"Neuer Spielstand in Kassel, 25:24 durch den Treffer von Florian Kranzmann für GWD Minden.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
44:05:00,,"Tor von der 7-Meter Linie von Florian Kranzmann (GWD Minden), neuer Spielstand 25:23.",MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
43:16:00,,25:22:00 Tor! Kai Häfner (MT Melsungen) netzt ein zum neuen Spielstand von 25:22.,MT Melsungen,GWD Minden,0,0,0,0,0,0,0,0
