,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:55:00,,"Chance für Magnus Fredriksen (HSG Wetzlar), er trifft aber nur den Pfosten.",MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
2,59:50:00,,Parade von Torwart Anadin Suljakovic (HSG Wetzlar).,MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
3,59:25:00,21:19,Erik Schmidt (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 21:19.,MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
4,59:03:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
5,58:47:00,,"Block von Erik Schmidt, der den Torwurf von André Gomes verhindert.",MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
6,58:29:00,,Der Wurf von MT Melsungen wurde geblockt.,MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
7,57:56:00,,"Lukas Becher (6M) wirft, jedoch neben das Tor.",MT Melsungen,HSG Wetzlar,0,0,0,0,0,0,0,0
8,57:29:00,,Zeitstrafe vorbei HSG Wetzlar,MT Melsungen,HSG Wetzlar,0,0,0,0,0,1,0,0
9,57:16:00,,Siebter Spieler eingewechselt HSG Wetzlar,MT Melsungen,HSG Wetzlar,0,0,0,1,0,1,0,0
10,57:10:00,21:18,Dimitri Ignatow (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 21:18.,MT Melsungen,HSG Wetzlar,0,0,0,0,0,1,0,0
11,56:25:00,,Fehlwurf von Vladan Lipovina (HSG Wetzlar).,MT Melsungen,HSG Wetzlar,0,0,0,0,0,1,0,0
12,56:03:00,,Siebter Spieler eingewechselt HSG Wetzlar,MT Melsungen,HSG Wetzlar,0,0,0,1,0,1,0,0
13,55:57:00,20:18,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 20:18.,MT Melsungen,HSG Wetzlar,0,0,0,0,0,1,0,0
14,55:38:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,HSG Wetzlar,0,0,0,0,1,1,0,0
15,55:22:00,,2-Minuten-Strafe für Emil Mellegard. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,MT Melsungen,HSG Wetzlar,0,0,0,0,1,1,1,0
16,54:30:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HSG Wetzlar,0,0,1,0,1,0,0,0
