,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
2,59:29:00,,"Gute Torchance, aber Julian Fuchs (MT Melsungen) kann diese nicht erfolgreich verwandeln.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
3,59:19:00,,Parade von Torwart Adam Morawski (MT Melsungen).,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
4,58:45:00,,Agustin Casado Marcelo von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
5,58:41:00,28:31:00,Tor (RM/fern)! Jonathan Edvardsson (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 28:31.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
6,57:44:00,,Lattenkracher von Ivan Martinovic (MT Melsungen).,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
7,56:30:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
8,56:18:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
9,55:52:00,,Dario Quenstedt (Hannover-Burgdorf) hält den Wurf von Agustin Casado Marcelo.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
10,55:52:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
11,55:38:00,28:30:00,Evgeni Pevnov (Hannover-Burgdorf) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 28:30.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
12,55:28:00,28:29:00,Rogerio Moraes Ferreira (MT Melsungen) trifft zum Spielstand von 28:29 in Rothenbach-Halle.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
13,54:55:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
14,54:29:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
15,54:26:00,,Torwartwechsel bei MT Melsungen. Adam Morawski kommt für Nebojsa Simic.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
16,54:20:00,27:29:00,"Tor von der 7-Meter Linie von Maximilian Gerbl (Hannover-Burgdorf), neuer Spielstand 27:29.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
17,54:14:00,,Der eingewechselte Torwart Nebojsa Simic (MT Melsungen) steht nun zwischen den Pfosten.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
18,53:23:00,27:28:00,Tor! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 27:28.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
19,53:11:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
20,52:46:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
21,52:33:00,,Uladzislau Kulesh von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
22,52:20:00,,Auszeit Hannover-Burgdorf,MT Melsungen,Hannover-Burgdorf,0,1,0,0,1,0,0,0
23,52:17:00,26:28:00,Ivan Martinovic (MT Melsungen) trifft von (RM/fern). Neuer Spielstand in Rothenbach-Halle: 26:28.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
24,51:17:00,,Auszeit MT Melsungen,MT Melsungen,Hannover-Burgdorf,1,0,0,0,1,0,0,0
25,51:00:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
26,50:58:00,,Nun wird Dario Quenstedt für Hannover-Burgdorf im Tor stehen.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
27,50:49:00,25:28:00,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 25:28.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
28,50:39:00,,Aidenas Malasinskas geht den Gegner zu stark an. MT Melsungen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
29,50:37:00,,"Chance für Jonathan Edvardsson (Hannover-Burgdorf), er trifft aber nur den Pfosten.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
30,49:51:00,25:27:00,"Neuer Spielstand in Kassel, 25:27 durch den Treffer von David Mandic für MT Melsungen.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
31,48:57:00,24:27:00,Agustin Casado Marcelo (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 24:27.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
32,48:52:00,,Der Wurf von Uladzislau Kulesh (Hannover-Burgdorf) landet hinter dem Tor.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
33,48:30:00,,Ivan Martinovic von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
34,48:13:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
35,47:46:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
36,47:35:00,,"Hannes Feise wirft auf das Tor, trifft aber nur den Pfosten.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
37,47:06:00,23:27,Tor (6M)! Ivan Martinovic (MT Melsungen) netzt ein zum neuen Spielstand von 23:27.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
38,46:22:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
39,46:10:00,22:27,Der 7-Meter wurde von Maximilian Gerbl (Hannover-Burgdorf) erfolgreich verwandelt.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
40,46:03:00,,André Gomes (MT Melsungen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
41,45:32:00,22:26,André Gomes (MT Melsungen) trifft zum Spielstand von 22:26 in Rothenbach-Halle.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
42,44:59:00,21:26,Tor! Evgeni Pevnov (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 21:26.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43,44:23:00,21:25,Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 21:25.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44,44:03:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
45,43:50:00,20:25,"Neuer Spielstand in Kassel, 20:25 durch den Treffer RM/fern von Branko Vujovic für Hannover-Burgdorf.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
46,43:35:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
47,42:28:00,,Adam Morawski (MT Melsungen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48,42:19:00,20:24,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 20:24.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49,41:56:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
50,41:43:00,19:24,Marian Michalczik (Hannover-Burgdorf) trifft von (RM/fern). Neuer Spielstand in Rothenbach-Halle: 19:24.,MT Melsungen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51,41:27:00,,Auszeit Hannover-Burgdorf,MT Melsungen,Hannover-Burgdorf,0,1,0,0,0,0,0,0
