Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurf von Agustin Casado Marcelo (MT Melsungen) landet hinter dem Tor.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:52:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:26:00,,Der Strafwurf von Timo Kastening wurde von Kristian Sæverås (SC DHfK Leipzig) gehalten.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:19:00,,Der eingewechselte Torwart Kristian Sæverås (SC DHfK Leipzig) steht nun zwischen den Pfosten.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:02:00,,Siebter Spieler eingewechselt MT Melsungen.,MT Melsungen,SC DHfK Leipzig,0,0,1,0,0,0,0,0
58:53:00,,"Gute Torchance, aber Luca Witzke (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:12:00,28:29:00,"Neuer Spielstand in Kassel, 28:29 durch den Treffer LA von Florian Drosten für MT Melsungen.",MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:52:00,27:29:00,Viggó Kristjánsson (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 27:29.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:43:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) mit einer Parade.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:28:00,,56:58:00 Siebter Spieler eingewechselt MT Melsungen.,MT Melsungen,SC DHfK Leipzig,0,0,1,0,0,0,0,0
56:57:00,27:27:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand auf 27:27.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:17:00,27:26:00,Tor! Julius Kühn (MT Melsungen) netzt ein zum neuen Spielstand von 27:26.,MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:01:00,,Siebter Spieler eingewechselt MT Melsungen.,MT Melsungen,SC DHfK Leipzig,0,0,1,0,0,0,0,0
55:50:00,26:26:00,"Neuer Spielstand in Kassel, 26:26 durch den Treffer von Viggó Kristjánsson für SC DHfK Leipzig.",MT Melsungen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:29:00,,Auszeit SC DHfK Leipzig.,MT Melsungen,SC DHfK Leipzig,0,1,0,0,0,0,0,0
