,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,"Block von Elvar Örn Jonsson, der den Torwurf von Johannes Golla verhindert.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,59:57:00,25:25:00,Der 7-Meter wurde von Aidenas Malasinskas (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
3,59:37:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
4,59:25:00,24:25:00,Der 7-Meter wurde von Aidenas Malasinskas (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
5,59:14:00,,Auszeit SG Flensburg-Handewitt,MT Melsungen,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
6,58:55:00,,Der Strafwurf von Lasse Kjær Møller wurde von Nebojsa Simic (MT Melsungen) gehalten.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,58:26:00,24:24:00,Kai Häfner (MT Melsungen) trifft zum Spielstand von 24:24 in Rothenbach-Halle.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
8,57:21:00,23:24,Tor (6M)! Elvar Örn Jonsson (MT Melsungen) netzt ein zum neuen Spielstand von 23:24.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
9,56:20:00,22:24,Tor! Hans Aaron Mensing (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 22:24.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
10,55:47:00,,Elvar Örn Jonsson von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
11,55:19:00,22:23,"Neuer Spielstand in Kassel, 22:23 durch den Treffer RR/fern von Franz Semper für SG Flensburg-Handewitt.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
12,54:18:00,,Agustin Casado Marcelo (MT Melsungen) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
13,53:55:00,,Simon Hald Jensen blockt den Wurf von Elvar Örn Jonsson.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
14,53:20:00,,Auszeit MT Melsungen,MT Melsungen,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
15,53:13:00,22:22,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft zum Spielstand von 22:22 in Rothenbach-Halle.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
16,52:41:00,22:21,Aidenas Malasinskas (MT Melsungen) trifft von der 7-Meter Linie.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
17,51:56:00,21:21,"Neuer Spielstand in Kassel, 21:21 durch den Treffer von Johan Hansen für SG Flensburg-Handewitt.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
18,51:14:00,21:20,André Gomes (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 21:20.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
19,51:05:00,,Lasse Kjær Møller von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
20,50:24:00,,"Der Torwart von SG Flensburg-Handewitt, Benjamin Buric hält den Wurf von Dimitri Ignatow.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21,49:58:00,,Lattenkracher von Hans Aaron Mensing (SG Flensburg-Handewitt).,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
22,49:37:00,,André Gomes von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
23,49:07:00,,Fehlwurf von Johannes Golla (SG Flensburg-Handewitt).,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
24,48:22:00,20:20,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 20:20.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
25,47:49:00,,"Parade des Torwarts von MT Melsungen, Nebojsa Simic.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
26,47:47:00,19:20,Tor (RM/fern)! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 19:20.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
27,47:25:00,18:20,Hans Aaron Mensing (SG Flensburg-Handewitt) trifft von (RL/fern). Neuer Spielstand in Rothenbach-Halle: 18:20.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
28,47:03:00,,"Wurf von Gøran Søgard Johannessen (SG Flensburg-Handewitt), aber der Ball landet nur am Pfosten.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29,46:21:00,18:19,Kai Häfner (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 18:19.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
30,45:53:00,17:19,Hans Aaron Mensing (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 17:19.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
31,45:09:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
32,44:38:00,17:18,"Neuer Spielstand in Kassel, 17:18 durch den Treffer von Gøran Søgard Johannessen für SG Flensburg-Handewitt.",MT Melsungen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
