Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurf von TBV Lemgo Lippe wurde geblockt.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:46:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:22:00,,Auszeit MT Melsungen,MT Melsungen,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
58:37:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
58:24:00,,Agustin Casado Marcelo (MT Melsungen) scheitert am Torwart Finn Zecher (TBV Lemgo Lippe).,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:37:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:17:00,,Zeitstrafe vorbei TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
57:02:00,,Agustin Casado Marcelo von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
56:27:00,20:19,"Tor von der 7-Meter Linie von Bobby Schagen (TBV Lemgo Lippe), neuer Spielstand 20:19.",MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
56:15:00,,Auszeit TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,1,0,0,0,1,0,0
55:49:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
55:22:00,20:18,Florian Drosten (MT Melsungen) überwindet den Torwart von (LA) zum neuen Spielstand von 20:18.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
55:06:00,,Es gibt eine 2 Minuten Strafe für Isaias Guardiola (TBV Lemgo Lippe).,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,1,1,0
54:48:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
54:42:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
54:03:00,19:18,Der 7-Meter wurde von Aidenas Malasinskas (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
52:52:00,,"Parade von Nebojsa Simic, Samuel Zehnder vergibt von der 7-Meter Linie!",MT Melsungen,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
52:47:00,,2-Minuten-Strafe für Arnar Freyr Arnarsson. MT Melsungen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
52:14:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
52:08:00,18:18,"Neuer Spielstand in Kassel, 18:18 durch den Treffer von Agustin Casado Marcelo für MT Melsungen.",MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:26:00,,Überragende Parade des Torwarts Nebojsa Simic (MT Melsungen)! Lukas Hutecek kann den Ball nicht im Tor unterbringen!,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:04:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
50:50:00,17:18,Tor! Ivan Martinovic (MT Melsungen) netzt ein zum neuen Spielstand von 17:18.,MT Melsungen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
