,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:37:00,33:26:00,Florian Drosten (MT Melsungen) überwindet den Torwart von (LA) zum neuen Spielstand von 33:26.,MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
2,58:29:00,,Lukas Süsser (TVB Stuttgart) scheitert am Torwart Adam Morawski (MT Melsungen).,MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
3,57:57:00,32:26:00,Elvar Örn Jonsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 32:26.,MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
4,57:12:00,,Siebter Spieler eingewechselt MT Melsungen.,MT Melsungen,TVB Stuttgart,0,0,1,0,0,0,0,0
5,56:46:00,,"André Gomes (6M) wirft, jedoch neben das Tor.",MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
6,56:13:00,,André Gomes von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
7,55:56:00,,Nun wird Adam Morawski für MT Melsungen im Tor stehen.,MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
8,55:40:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Jerome Müller.",MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
9,55:30:00,,"Block von Agustin Casado Marcelo, der den Torwurf von Jerome Müller verhindert.",MT Melsungen,TVB Stuttgart,0,0,0,0,0,0,0,0
10,55:16:00,,Siebter Spieler eingewechselt TVB Stuttgart.,MT Melsungen,TVB Stuttgart,0,0,0,1,0,0,0,0
