,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:50:00,28:22:00,"Neuer Spielstand in Kassel, 28:22 durch den Treffer von Florian Drosten für MT Melsungen.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
2,59:40:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
3,59:35:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
4,59:29:00,27:22:00,André Gomes (MT Melsungen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 27:22.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
5,58:44:00,,Ellidi Snaer Vidarsson von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
6,58:27:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
7,58:18:00,,Arnar Freyr Arnarsson von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
8,57:24:00,,Tom Jansen (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 26:22.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
9,57:19:00,,Auszeit VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,1,0,0,0,0,0,0
10,56:52:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
11,56:37:00,26:21:00,Tor! Ivan Martinovic (MT Melsungen) netzt ein zum neuen Spielstand von 26:21.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
12,55:59:00,,"Lukas Blohme (RA) wirft, jedoch neben das Tor.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
13,55:52:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
14,55:28:00,,Torwartwechsel bei VfL Gummersbach. Tibor Ivanisevic kommt für Fabian Norsten.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
15,55:18:00,,Ellidi Snaer Vidarsson von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
16,55:10:00,25:21:00,Elvar Örn Jonsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 25:21.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
17,54:21:00,,Tor (6M)! Jonas Stüber (VfL Gummersbach) netzt ein zum neuen Spielstand von 24:21.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
18,54:06:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
19,53:58:00,24:20:00,"Neuer Spielstand in Kassel, 24:20 durch den Treffer 6M von André Gomes für MT Melsungen.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
20,53:23:00,,Nebojsa Simic (MT Melsungen) mit einer Parade beim 7-Meter.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
21,53:00:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
22,52:48:00,23:20,André Gomes (MT Melsungen) trifft zum Spielstand von 23:20 in Rothenbach-Halle.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
23,52:16:00,,Auszeit MT Melsungen,MT Melsungen,VfL Gummersbach,1,0,0,0,0,0,0,0
24,51:36:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
25,51:15:00,22:20,"Neuer Spielstand in Kassel, 22:20 durch den Treffer RM/fern von André Gomes für MT Melsungen.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
26,50:08:00,21:20,Jonas Stüber (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 21:20.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
27,49:41:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
28,49:35:00,21:19,Elvar Örn Jonsson (MT Melsungen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 21:19.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
29,49:02:00,20:19,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 20:19 in Rothenbach-Halle.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
30,48:55:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,0,0,0
31,48:43:00,,Fabian Norsten (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
32,48:33:00,20:18,David Mandic (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 20:18.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
33,48:25:00,,Überragende Parade des Torwarts Nebojsa Simic (MT Melsungen)! Miro Schluroff kann den Ball nicht im Tor unterbringen!,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
34,47:27:00,,Zeitstrafe vorbei VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,0,0,1,0,0
35,47:25:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,1,0,0
36,47:18:00,19:18,Tor! Dimitri Ignatow (MT Melsungen) netzt ein zum neuen Spielstand von 19:18.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,1,0,0
37,46:43:00,18:18,Hakon Dadi Styrmisson (VfL Gummersbach) trifft von der 7-Meter Linie.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,1,0,0
38,45:53:00,,Siebter Spieler eingewechselt VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,0,0,1,0,1,0,0
39,45:44:00,18:17,"Neuer Spielstand in Kassel, 18:17 durch den Treffer von Ivan Martinovic für MT Melsungen.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,1,0,0
40,45:26:00,,Die Schiedsrichter Fedtke/Wienrich zeigen Stepan Zeman (VfL Gummersbach) die Rote Karte.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,1,1,0
41,45:26:00,,Stepan Zeman geht den Gegner zu stark an. VfL Gummersbach muss nun die...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
42,44:56:00,,Stepan Zeman von VfL Gummersbach unterläuft ein technischer Fehler. Der...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
43,44:45:00,,Fedtke/Wienrich verwarnen Roberto Garcia Parrondo (MT Melsungen) mit einer...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
44,44:22:00,17:17,Tor (6M)! David Mandic (MT Melsungen) netzt ein zum neuen Spielstand von...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
45,43:42:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Ole Pregler.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
46,43:22:00,,Auszeit VfL Gummersbach,MT Melsungen,VfL Gummersbach,0,1,0,0,0,0,0,0
47,43:17:00,16:17,André Gomes (MT Melsungen) legt den Treffer von David Mandic auf. Es steht...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
48,42:39:00,,Miro Schluroff (VfL Gummersbach) scheitert am Torwart Nebojsa Simic (MT M...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
49,42:08:00,15:17,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart zum neuen Spiel...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
50,41:06:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
51,40:57:00,14:17,Agustin Casado Marcelo (MT Melsungen) trifft zum Spielstand von 14:17 in...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
52,40:27:00,13:17,"Neuer Spielstand in Kassel, 13:17 durch den Treffer von Lukas Blohme für Vf...",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
53,40:16:00,13:16,"Neuer Spielstand in Kassel, 13:16 durch den Treffer 6M von Arnar Freyr Arnar...",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
54,39:29:00,12:16,Tor (6M)! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spiel...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
55,38:38:00,,"Block von Arnar Freyr Arnarsson, der den Torwurf von Tom Jansen verhindert.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
56,37:52:00,12:15,Tor! Gleb Kalarash (MT Melsungen) netzt ein zum neuen Spielstand von 12:15.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
57,37:41:00,,"Gute Torchance, aber Ole Pregler (VfL Gummersbach) kann diese nicht erfolgreich...",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
58,37:02:00,,Aidenas Malasinskas von MT Melsungen unterläuft ein technischer Fehler. Der...,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
59,36:53:00,,Fehlwurf von Julian Köster (VfL Gummersbach).,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
60,36:29:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic hält den Wurf von Kai Häfner.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
61,35:36:00,,Der Wurfversuch von Agustin Casado Marcelo (MT Melsungen) wurde durch einen Block von Tom Kiesler verhindert.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
62,35:27:00,,Der Wurf von Hakon Dadi Styrmisson (VfL Gummersbach) landet hinter dem Tor.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
63,34:49:00,,Kai Häfner (MT Melsungen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
64,33:46:00,11:15,Hakon Dadi Styrmisson (VfL Gummersbach) überwindet den Torwart von (LA) zum neuen Spielstand von 11:15.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
65,32:36:00,11:14,Arnar Freyr Arnarsson (MT Melsungen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 11:14.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
66,32:04:00,,Hakon Dadi Styrmisson von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
67,31:54:00,,"Torwurf von Ellidi Snaer Vidarsson (VfL Gummersbach), aber der Ball trifft nur die Latte.",MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
68,31:37:00,,Gleb Kalarash blockt den Wurf von Tom Jansen.,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
69,31:02:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
70,HALBZ,10:14,,MT Melsungen,VfL Gummersbach,0,0,0,0,0,0,0,0
