Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Yonatan Dayan.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:53:00,,Auszeit ASV Hamm-Westfalen,MT Melsungen,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
59:53:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,MT Melsungen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
59:50:00,30:29:00,Timo Kastening (MT Melsungen) trifft von der 7-Meter Linie.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:31:00,,Auszeit MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
59:31:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
58:58:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
58:45:00,,Der Wurf von Stefan Bauer (ASV Hamm-Westfalen) landet hinter dem Tor.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:07:00,29:29:00,Julius Kühn (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:29.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:04:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
57:52:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:02:00,28:29:00,Tor! Timo Kastening (MT Melsungen) netzt ein zum neuen Spielstand von 28:29.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:59:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den gegebenen 7-Meter.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:36:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
56:23:00,27:29:00,Stefan Bauer (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 27:29.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:04:00,27:28:00,Tor (RA)! Timo Kastening (MT Melsungen) netzt ein zum neuen Spielstand von 27:28.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:41:00,,Auszeit MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
54:41:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
54:40:00,26:28:00,Tor! Alexander Schulze (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 26:28.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:53:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
53:42:00,26:27:00,"Neuer Spielstand in Kassel, 26:27 durch den Treffer von Kai Häfner für MT Melsungen.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
53:07:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
52:53:00,25:27:00,Yonatan Dayan (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 25:27.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
52:31:00,25:26:00,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 25:26.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
52:05:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
51:52:00,24:26:00,Tor (6M)! Björn Zintel (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 24:26.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
51:32:00,,Agustin Casado Marcelo (MT Melsungen) erhält eine 2 Minuten Strafe.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
51:24:00,24:25:00,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 24:25.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:54:00,,"Gute Torchance, aber Stefan Bauer (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:43:00,23:25,"Neuer Spielstand in Kassel, 23:25 durch den Treffer RM/fern von Kai Häfner für MT Melsungen.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:08:00,22:25,Stefan Bauer (ASV Hamm-Westfalen) trifft zum Spielstand von 22:25 in Rothenbach-Halle.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:04:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
48:59:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
48:26:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
48:17:00,,Adam Morawski (MT Melsungen) mit einer Parade.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
47:36:00,22:24,Der 7-Meter wurde von Timo Kastening (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
46:59:00,,Michael Lerscht (ASV Hamm-Westfalen) bekommt die Gelbe Karte von Fedtke/Wienrich gezeigt.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
46:59:00,,Gleb Kalarash (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
46:58:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,ASV Hamm-Westfalen,0,0,1,0,0,0,0,0
46:56:00,,Überragende Parade des Torwarts Adam Morawski (MT Melsungen)! Yonatan Dayan kann den Ball nicht im Tor unterbringen!,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:48:00,,Jan Von Boenigk von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:16:00,,Auszeit ASV Hamm-Westfalen,MT Melsungen,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
44:56:00,21:24,"Neuer Spielstand in Kassel, 21:24 durch den Treffer von Kai Häfner für MT Melsungen.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
44:43:00,,Der Wurf von Jan Pretzewofsky (ASV Hamm-Westfalen) landet hinter dem Tor.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
43:53:00,,Fehlwurf von Savvas Savvas (ASV Hamm-Westfalen).,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:56:00,20:24,Tor! David Mandic (MT Melsungen) netzt ein zum neuen Spielstand von 20:24.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:46:00,19:24,Savvas Savvas (ASV Hamm-Westfalen) trifft zum Spielstand von 19:24 in Rothenbach-Halle.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:10:00,19:23,Tor (6M)! Kai Häfner (MT Melsungen) netzt ein zum neuen Spielstand von 19:23.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:00:00,18:23,Savvas Savvas (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 18:23.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
41:25:00,,Felix Hertlein (ASV Hamm-Westfalen) hält den Wurf von Timo Kastening.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
41:16:00,18:22,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 18:22.,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
40:40:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
39:53:00,18:21,"Neuer Spielstand in Kassel, 18:21 durch den Treffer 6M von Jan Von Boenigk für ASV Hamm-Westfalen.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
39:37:00,,Parade von Torwart Adam Morawski (MT Melsungen).,MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
39:28:00,,"Gute Torchance, aber Julius Kühn (MT Melsungen) kann diese nicht erfolgreich verwandeln.",MT Melsungen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
