Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:50:00,26:23:00,Josip Sarac (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:23.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:21:00,26:22:00,Dimitri Ignatow (MT Melsungen) trifft zum Spielstand von 26:22 in Rothenbach-Halle.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:49:00,,"Jaka Malus (6M) wirft, jedoch neben das Tor.",MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:21:00,,Auszeit FRISCH AUF! Göppingen,MT Melsungen,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
57:17:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,1,0,0,0,0
57:17:00,25:22:00,"Neuer Spielstand in Kassel, 25:22 durch den Treffer RM/fern von Domagoj Pavlovic für MT Melsungen.",MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:23:00,,"Parade des Torwarts von MT Melsungen, Nebojsa Simic.",MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:22:00,,Der Wurf von Domagoj Pavlovic (MT Melsungen) landet hinter dem Tor.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:47:00,,"Wurf von Josip Sarac (FRISCH AUF! Göppingen), aber der Ball landet nur am Pfosten.",MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:14:00,,Kai Häfner (MT Melsungen) scheitert am Torwart Marin Sego (FRISCH AUF! Göppingen).,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:40:00,,Marcel Schiller (FRISCH AUF! Göppingen) trifft nur den Pfosten.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:02:00,24:22:00,Tor (6M)! Dimitri Ignatow (MT Melsungen) netzt ein zum neuen Spielstand von 24:22.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:33:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:32:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,1,0,0,0,0
52:21:00,,Auszeit FRISCH AUF! Göppingen,MT Melsungen,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
52:21:00,,Es gibt Gelb für Carsten Lichtlein (MT Melsungen) von Tonnies/Schulze.,MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
51:41:00,,"Parade des Torwarts von FRISCH AUF! Göppingen, Marin Sego.",MT Melsungen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
