Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:36:00,,Lutz Heiny (HC Erlangen) scheitert am Torwart Adam Morawski (MT Melsungen).,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
59:21:00,31:18:00,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 31:18.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
59:09:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
58:45:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,1,0,0,0
58:38:00,,Adam Morawski (MT Melsungen) hält den Wurf von Lutz Heiny.,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
58:20:00,,Bertram Obling (HC Erlangen) mit einer Parade.,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
57:57:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,1,0,0,0
57:45:00,,"Tim Zechel wirft auf das Tor, trifft aber nur den Pfosten.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
57:38:00,,"Florian Drosten wirft auf das Tor, trifft aber nur den Pfosten.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
57:17:00,30:18:00,Lutz Heiny (HC Erlangen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 30:18.,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
57:12:00,,Dimitri Ignatow (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,1
57:08:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,0,0,0,0
56:42:00,30:17:00,"Neuer Spielstand in Kassel, 30:17 durch den Treffer RA von Dimitri Ignatow für MT Melsungen.",MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
56:04:00,,Tor (6M)! Johannes Sellin (HC Erlangen) netzt ein zum neuen Spielstand von 29:17.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
55:33:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
55:28:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
55:03:00,29:16:00,"Neuer Spielstand in Kassel, 29:16 durch den Treffer von André Gomes für MT Melsungen.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
54:34:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,1,0,0,0
54:26:00,,Parade von Torwart Adam Morawski (MT Melsungen).,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
54:18:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
54:08:00,,"Parade des Torwarts von HC Erlangen, Bertram Obling.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
53:27:00,,Domagoj Pavlovic (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,1
53:27:00,28:16:00,Tor! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 28:16.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
53:23:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,0,0,0,0
53:14:00,,Zeitstrafe vorbei HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,0,0,1,0,0
52:58:00,28:15:00,Florian Drosten (MT Melsungen) trifft zum Spielstand von 28:15 in Rothenbach-Halle.,MT Melsungen,HC Erlangen,0,0,0,0,0,1,0,0
52:21:00,,Auszeit HC Erlangen,MT Melsungen,HC Erlangen,0,1,0,0,0,1,0,0
51:57:00,,Siebter Spieler eingewechselt HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,1,0,1,0,0
51:53:00,27:15:00,Elvar Örn Jonsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 27:15.,MT Melsungen,HC Erlangen,0,0,0,0,0,1,0,0
51:27:00,,Lutz Heiny von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,HC Erlangen,0,0,0,0,0,1,0,0
51:27:00,,Nikolai Link (HC Erlangen) erhält eine 2 Minuten Strafe.,MT Melsungen,HC Erlangen,0,0,0,0,0,1,1,0
51:02:00,,Rogerio Moraes Ferreira (MT Melsungen) trifft zum Spielstand von 26:15 in Rothenbach-Halle.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
50:58:00,,Siebter Spieler eingewechselt HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,1,0,0,0,0
50:06:00,25:15:00,Tor! Johannes Sellin (HC Erlangen) netzt ein zum neuen Spielstand von 25:15.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
49:37:00,25:14:00,"Neuer Spielstand in Kassel, 25:14 durch den Treffer RR/fern von Julius Kühn für MT Melsungen.",MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
48:54:00,,Der Strafwurf von Christoph Steinert wurde von Adam Morawski (MT Melsungen) gehalten.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
48:47:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
48:27:00,,"Der Torwart von HC Erlangen, Bertram Obling hält den Wurf von Rogerio Moraes Ferreira.",MT Melsungen,HC Erlangen,0,0,0,0,1,0,0,0
48:13:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,1,0,0,0
48:07:00,,Zeitstrafe vorbei HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,0,1,1,0,0
47:57:00,,Parade von Torwart Bertram Obling (HC Erlangen).,MT Melsungen,HC Erlangen,0,0,0,0,1,1,0,0
47:34:00,24:14:00,David Mandic (MT Melsungen) überwindet den Torwart von (LA) zum neuen Spielstand von 24:14.,MT Melsungen,HC Erlangen,0,0,0,0,1,1,0,0
47:31:00,,Siebter Spieler eingewechselt HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,1,1,1,0,0
47:01:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,HC Erlangen,0,0,1,0,1,1,0,0
46:53:00,,Tim Zechel von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,HC Erlangen,0,0,0,0,1,1,0,0
46:47:00,,"Nach einem harten Foul hat Arnar Freyr Arnarsson (MT Melsungen) nun zwei Minuten Zeit, um sich auszuruhen.",MT Melsungen,HC Erlangen,0,0,0,0,1,1,0,1
46:17:00,23:14,"Neuer Spielstand in Kassel, 23:14 durch den Treffer von Timo Kastening für MT Melsungen.",MT Melsungen,HC Erlangen,0,0,0,0,0,1,0,0
45:43:00,,Es gibt eine 2 Minuten Strafe für Christopher Bissel (HC Erlangen).,MT Melsungen,HC Erlangen,0,0,0,0,0,1,1,0
45:41:00,,Siebter Spieler eingewechselt HC Erlangen,MT Melsungen,HC Erlangen,0,0,0,1,0,0,0,0
45:40:00,22:14,Tor (6M)! Agustin Casado Marcelo (MT Melsungen) netzt ein zum neuen Spielstand von 22:14.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
45:13:00,,Adam Morawski (MT Melsungen) bleibt Sieger im 7-Meter-Duell gegen Nico Büdel (HC Erlangen).,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
43:34:00,21:14,André Gomes (MT Melsungen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 21:14.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
42:58:00,,Der Wurf von HC Erlangen wurde geblockt.,MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
42:08:00,,"Gute Torchance, aber André Gomes (MT Melsungen) kann diese nicht erfolgreich verwandeln.",MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
41:32:00,20:14,"Neuer Spielstand in Kassel, 20:14 durch den Treffer von Antonio Metzner für HC Erlangen.",MT Melsungen,HC Erlangen,0,0,0,0,0,0,0,0
