Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
59:48:00,,Auszeit SC Magdeburg,MT Melsungen,SC Magdeburg,0,1,0,0,0,0,0,0
59:19:00,27:26:00,"Neuer Spielstand in Kassel, 27:26 durch den Treffer von David Mandic für MT Melsungen.",MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
59:18:00,,Parade von Torwart Nikola Portner (SC Magdeburg).,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
59:18:00,,Tor! Daniel Pettersson (SC Magdeburg) netzt ein zum neuen Spielstand von 26:26.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
57:48:00,26:25:00,Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:25.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
57:07:00,,Gisli Thorgeir Kristjansson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
56:23:00,,Der Wurf von Agustin Casado Marcelo (MT Melsungen) landet hinter dem Tor.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
56:23:00,,Tor (6M)! Christian O'Sullivan (SC Magdeburg) netzt ein zum neuen Spielstand von 25:25.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
55:19:00,25:24:00,Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 25:24.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
54:10:00,24:24:00,"Neuer Spielstand in Kassel, 24:24 durch den Treffer LA von Lukas Mertens für SC Magdeburg.",MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
53:09:00,,Kay Smits von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,SC Magdeburg,0,0,0,0,0,0,0,0
