Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Der 7-Meter wurde von Aidenas Malasinskas (MT Melsungen) erfolgreich verwandelt.,MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
59:57:00,,"Der Trainer von THW Kiel, Filip Jicha stellt nun Tomas Mrkva zwischen die Pfosten.",MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
59:55:00,,"Nach einem harten Foul hat Magnus Landin (THW Kiel) nun zwei Minuten Zeit, um sich auszuruhen.",MT Melsungen,THW Kiel,0,0,0,0,0,1,1,0
59:55:00,,Eric Johansson von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
59:40:00,18:23,Rogerio Moraes Ferreira (MT Melsungen) trifft von (6M). Neuer Spielstand in Rothenbach-Halle: 18:23.,MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
59:02:00,17:23,"Neuer Spielstand in Kassel, 17:23 durch den Treffer 6M von Eric Johansson für THW Kiel.",MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
58:48:00,,Auszeit THW Kiel,MT Melsungen,THW Kiel,0,1,0,0,0,0,0,0
58:47:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
58:25:00,,Der Wurfversuch von Harald Reinkind (THW Kiel) wurde durch einen Block von Rogerio Moraes Ferreira verhindert.,MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
57:35:00,,Eric Johansson von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
57:25:00,,"Block von Elvar Örn Jonsson, der den Torwurf von Harald Reinkind verhindert.",MT Melsungen,THW Kiel,0,0,0,0,0,0,0,0
56:37:00,,Zeitstrafe vorbei THW Kiel,MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
56:06:00,17:22,Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 17:22.,MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
55:26:00,16:22,Tor! Eric Johansson (THW Kiel) netzt ein zum neuen Spielstand von 16:22.,MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
54:53:00,,Siebter Spieler eingewechselt THW Kiel,MT Melsungen,THW Kiel,0,0,0,1,0,1,0,0
54:30:00,16:21,"Tor von der 7-Meter Linie von Aidenas Malasinskas (MT Melsungen), neuer Spielstand 16:21.",MT Melsungen,THW Kiel,0,0,0,0,0,1,0,0
54:27:00,,Petter Øverby (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,MT Melsungen,THW Kiel,0,0,0,0,0,1,1,0
54:13:00,,Zeitstrafe vorbei MT Melsungen,MT Melsungen,THW Kiel,0,0,0,0,1,0,0,0
54:10:00,,Siebter Spieler eingewechselt MT Melsungen,MT Melsungen,THW Kiel,0,0,1,0,1,0,0,0
54:02:00,,"Parade des Torwarts von MT Melsungen, Nebojsa Simic.",MT Melsungen,THW Kiel,0,0,0,0,1,0,0,0
53:40:00,,Parade von Torwart Niklas Landin (THW Kiel).,MT Melsungen,THW Kiel,0,0,0,0,1,0,0,0
52:48:00,15:21,Elvar Örn Jonsson (MT Melsungen) tankt sich durch und erzielt einen Treffer zum 15:21.,MT Melsungen,THW Kiel,0,0,0,0,1,0,0,0
52:48:00,,Zeitstrafe vorbei THW Kiel,MT Melsungen,THW Kiel,0,0,0,0,1,1,0,0
