Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:20:00,,Fehlwurf von Mohamed Amine Darmoul (GWD Minden).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
58:39:00,,"Block von Robert Timmermeister, der den Torwurf von Theodor Teuteberg verhindert.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
58:08:00,37:25:00,"Neuer Spielstand in Mannheim, 37:25 durch den Treffer 6M von Niclas Kirkelokke für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
57:42:00,,Auszeit GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,1,0,0,0,0,0,0
57:33:00,36:25:00,Niklas Michalski (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 36:25.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
57:26:00,,"Gute Torchance, aber Jonah Jungmann (GWD Minden) kann diese nicht erfolgreich verwandeln.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
56:58:00,35:25:00,Robert Timmermeister (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 35:25.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
56:56:00,,Mats Grupe (Rhein-Neckar Löwen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
56:50:00,34:25:00,"Neuer Spielstand in Mannheim, 34:25 durch den Treffer von Mohamed Amine Darmoul für GWD Minden.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
56:11:00,,Robert Timmermeister (Rhein-Neckar Löwen) scheitert am Torwart Malte Semisch (GWD Minden).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
56:00:00,,Luka Sebetic (GWD Minden) scheitert am Torwart Joel Birlehm (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
55:02:00,34:24:00,"Neuer Spielstand in Mannheim, 34:24 durch den Treffer 6M von Ymir Örn Gislason für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
54:42:00,,Parade von Torwart Malte Semisch (GWD Minden).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
53:55:00,,Mohamed Amine Darmoul von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
53:21:00,33:24:00,Tor! Juri Knorr (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 33:24.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
52:30:00,,Timo Stoyke (GWD Minden) trifft zum Spielstand von 32:24 in SAP Arena.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
52:09:00,,Juri Knorr von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
51:36:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm hält den Wurf von Timo Stoyke.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
51:24:00,32:23:00,Benjamin Helander (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 32:23.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
51:17:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm pariert den Wurf.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
50:48:00,,Juri Knorr von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
49:59:00,31:23:00,Tor (6M)! Luka Sebetic (GWD Minden) netzt ein zum neuen Spielstand von 31:23.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
49:39:00,,Überragende Parade des Torwarts Joel Birlehm (Rhein-Neckar Löwen)! Luka Sebetic kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
49:28:00,,Der Wurf von GWD Minden wurde geblockt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
48:22:00,31:22:00,Juri Knorr (Rhein-Neckar Löwen) durchbricht die Abwehr und trifft zum 31:22.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
48:18:00,,Zeitstrafe vorbei GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
48:13:00,30:22:00,Maximilian Janke (GWD Minden) trifft von (6M). Neuer Spielstand in SAP Arena: 30:22.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
47:58:00,,"Mohamed Amine Darmoul (RM/fern) wirft, jedoch neben das Tor.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
47:12:00,,Malte Semisch (GWD Minden) mit einer Parade.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
47:05:00,30:21:00,Tomas Urban (GWD Minden) trifft zum Spielstand von 30:21 in SAP Arena.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
46:40:00,,Siebter Spieler eingewechselt GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,1,0,1,0,0
46:30:00,30:20:00,Tor (6M)! Juri Knorr (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 30:20.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
46:18:00,,Es gibt eine 2 Minuten Strafe für Max Staar (GWD Minden).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,1,0
45:39:00,,Zeitstrafe vorbei GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
45:38:00,29:20:00,Max Staar (GWD Minden) überwindet den Torwart von (RA) zum neuen Spielstand von 29:20.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
44:42:00,29:19:00,"Tor Uwe Gensheimer, Rhein-Neckar Löwen",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
44:36:00,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
44:17:00,,Siebter Spieler eingewechselt GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,1,0,1,0,0
43:58:00,,Maximilian Janke von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
43:52:00,,Zeitstrafe vorbei GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
43:31:00,28:19:00,"Neuer Spielstand in Mannheim, 28:19 durch den Treffer von Kristjan Horzen für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
43:26:00,,Mohamed Amine Darmoul von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
43:12:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Joel Birlehm.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
42:59:00,,"Block von Olle Forsell Schefvert, der den Torwurf von Luka Sebetic verhindert.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
42:31:00,,Siebter Spieler eingewechselt GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,1,0,1,0,0
42:23:00,27:19:00,"Neuer Spielstand in Mannheim, 27:19 durch den Treffer von Kristjan Horzen für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
41:56:00,,"Der Towart von GWD Minden, Malte Semisch pariert den gegebenen 7-Meter.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
41:51:00,,Es gibt eine 2 Minuten Strafe für Tomas Urban (GWD Minden).,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,1,0
41:41:00,,Mohamed Amine Darmoul (GWD Minden) hält den Wurf von Juri Knorr.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
40:55:00,,Max Staar von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
40:04:00,,Juri Knorr von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
39:51:00,26:19:00,Tor! Timo Stoyke (GWD Minden) netzt ein zum neuen Spielstand von 26:19.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
39:09:00,,Olle Forsell Schefvert von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
39:11:00,,Tor! Timo Stoyke (GWD Minden) netzt ein zum neuen Spielstand von 26:19.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
39:09:00,,Olle Forsell Schefvert von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
38:16:00,,"Neuer Spielstand in Mannheim, 26:18 durch den Treffer 6M von Mohamed Amine Darmoul für GWD Minden.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
37:44:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,0,0,0
37:39:00,26:17:00,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von der 7-Meter Linie und bringt den Spielstand auf 26:17.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,0,0,0
36:44:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,GWD Minden,0,0,1,0,1,0,0,0
36:32:00,,Zeitstrafe vorbei GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,1,0,0
36:26:00,,Kristjan Horzen von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,1,0,0
36:07:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,GWD Minden,0,0,1,0,1,1,0,0
36:01:00,25:17:00,Mats Korte (GWD Minden) überwindet den Torwart zum neuen Spielstand von 25:17.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,1,0,0
35:38:00,,2-Minuten-Strafe für Benjamin Helander. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,1,1,0,1
35:35:00,,Siebter Spieler eingewechselt GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,1,0,1,0,0
35:35:00,,Siebter Spieler eingewechselt GWD Minden,Rhein-Neckar Löwen,GWD Minden,0,0,0,1,0,1,0,0
34:44:00,25:16:00,Der 7-Meter wurde von Uwe Gensheimer (Rhein-Neckar Löwen) erfolgreich verwandelt.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,0,0
34:32:00,,Timo Stoyke geht den Gegner zu stark an. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,1,1,0
34:23:00,24:16:00,Niclas Pieczkowski (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 24:16.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
33:26:00,24:15:00,Tor (6M)! Kristjan Horzen (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 24:15.,Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
32:49:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm pariert den Wurf.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
32:43:00,,"Chance für Tomas Urban (GWD Minden), er trifft aber nur den Pfosten.",Rhein-Neckar Löwen,GWD Minden,0,0,0,0,0,0,0,0
