,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,1,0,0,0,0,0,0,0
2,59:54:00,,Zeitstrafe vorbei Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
3,59:00:00,32:31:00,Branko Vujovic (Hannover-Burgdorf) trifft zum Spielstand von 32:31 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
4,58:57:00,32:30:00,Tor! Patrick Groetzki (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 32:30.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
5,58:57:00,31:30:00,Veit Mävers (Hannover-Burgdorf) trifft von der 7-Meter Linie.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
6,58:49:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,1,0,1,0,0
7,58:35:00,31:29:00,Uwe Gensheimer (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 31:29.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
8,58:08:00,30:29:00,Branko Vujovic (Hannover-Burgdorf) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:29.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
9,57:47:00,,Filip Kuzmanovski von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
10,57:47:00,,Filip Kuzmanovski (Hannover-Burgdorf) erhält eine 2 Minuten Strafe.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,1,0
11,57:30:00,30:28:00,Jannik Kohlbacher (Rhein-Neckar Löwen) trifft zum Spielstand von 30:28 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
12,56:49:00,,Parade von Torwart Joel Birlehm (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
13,56:43:00,,Filip Kuzmanovski (Hannover-Burgdorf) scheitert am Torwart Joel Birlehm (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
14,56:23:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,1,0,0,0,0
15,56:06:00,29:28:00,Tor! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 29:28.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
16,55:42:00,28:28:00,Veit Mävers (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 28:28.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
17,55:26:00,,Auszeit Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,1,0,0,0,0,0,0
18,55:26:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,1,0,0,0,0
19,54:45:00,28:27:00,"Neuer Spielstand in Mannheim, 28:27 durch den Treffer 6M von Uwe Gensheimer für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
20,54:02:00,27:27:00,"Neuer Spielstand in Mannheim, 27:27 durch den Treffer von Albin Lagergren für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
21,53:51:00,,Jonathan Edvardsson von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
22,53:20:00,26:27:00,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 26:27.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
23,52:56:00,25:27:00,Tor (6M)! Ilija Brozovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 25:27.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
24,51:59:00,,Hannover-Burgdorf wechselt den Torwart. Domenico Ebner kommt für Dario Quenstedt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
25,51:47:00,25:26:00,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von der 7-Meter Linie und bringt den Spielstand auf 25:26.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
26,51:44:00,,Der eingewechselte Torwart Dario Quenstedt (Hannover-Burgdorf) steht nun zwischen den Pfosten.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
27,50:57:00,24:26:00,Tor (6M)! Ilija Brozovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 24:26.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
28,49:38:00,,Joel Birlehm (Rhein-Neckar Löwen) bleibt Sieger im 7-Meter-Duell gegen Maximilian Gerbl (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
29,49:32:00,,Michael Jacobsen (Rhein-Neckar Löwen) bekommt die Gelbe Karte von Kuttler/Merz gezeigt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
30,49:16:00,24:25:00,"Neuer Spielstand in Mannheim, 24:25 durch den Treffer 6M von Olle Forsell Schefvert für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
31,48:56:00,,Joel Birlehm (Rhein-Neckar Löwen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
32,48:46:00,,Tor! Filip Kuzmanovski (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 23:25.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
33,48:29:00,23:24,"Neuer Spielstand in Mannheim, 23:24 durch den Treffer von Jannik Kohlbacher für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
34,55:26:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
35,54:45:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Mikael Appelgren.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36,45:55:00,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Uwe Gensheimer.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37,45:04:00,22:24,Albin Lagergren (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 22:24.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38,44:52:00,,Wurfversuch von Jonathan Edvardsson (Hannover-Burgdorf) aber der Ball landet an der Latte.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39,44:18:00,21:24,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von (LA). Neuer Spielstand in SAP Arena: 21:24.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40,44:14:00,,Nun wird Mikael Appelgren für Rhein-Neckar Löwen im Tor stehen.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41,44:08:00,20:24,Renars Uscins (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 20:24.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
42,43:35:00,20:23,Juri Knorr (Rhein-Neckar Löwen) trifft zum Spielstand von 20:23 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43,43:23:00,19:23,Tor! Jonathan Edvardsson (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 19:23.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44,42:44:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Uwe Gensheimer kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
45,42:14:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,1,0,0,0,0,0,0,0
46,42:08:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47,42:00:00,19:22,Vincent Büchner (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 19:22.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48,41:35:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
49,41:26:00,19:21,"Neuer Spielstand in Mannheim, 19:21 durch den Treffer von Jonathan Edvardsson für Hannover-Burgdorf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50,41:15:00,,Zeitstrafe vorbei Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,1,0,0
51,41:10:00,,Jannik Kohlbacher (Rhein-Neckar Löwen) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,1,0,0
52,41:01:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,1,0,0
53,40:20:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,1,0,1,1,0,0
54,40:05:00,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade beim 7-Meter.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,1,0,0
55,40:01:00,,2-Minuten-Strafe für Olle Forsell Schefvert. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,1,1,0,1
56,39:44:00,,Zeitstrafe vorbei Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
57,39:09:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,1,0,1,0,0
58,38:59:00,19:20,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von der 7-Meter Linie.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
59,38:55:00,,Marian Michalczik (Hannover-Burgdorf) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,1,0
60,38:46:00,18:20,Jonathan Edvardsson (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 18:20.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
61,38:20:00,,Auszeit Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,1,0,0,0,1,0,0
62,37:44:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,1,0,1,0,0
63,37:44:00,,Branko Vujovic (Hannover-Burgdorf) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,1,1,0
64,37:40:00,18:19,"Neuer Spielstand in Mannheim, 18:19 durch den Treffer 6M von Uwe Gensheimer für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
65,37:31:00,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
66,37:20:00,17:19,Halil Jaganjac (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 17:19.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
67,37:00:00,,"Block von Jannik Kohlbacher, der den Torwurf von Marian Michalczik verhindert.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
68,36:27:00,16:19,Tor (LA)! Uwe Gensheimer (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 16:19.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
69,36:17:00,,Jonathan Edvardsson (Hannover-Burgdorf) trifft zum Spielstand von 15:19 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
70,36:15:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm hält den Wurf von Jonathan Edvardsson.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
71,36:05:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner pariert den Wurf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
72,35:44:00,,"Der Trainer von Rhein-Neckar Löwen, Sebastian Hinze stellt nun Joel Birlehm zwischen die Pfosten.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
73,35:39:00,15:18,Der 7-Meter wurde von Maximilian Gerbl (Hannover-Burgdorf) erfolgreich verwandelt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
74,35:08:00,,Torwartwechsel bei Rhein-Neckar Löwen. Mikael Appelgren kommt für Joel Birlehm.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
75,34:07:00,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Juri Knorr.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
76,33:12:00,15:17,"Neuer Spielstand in Mannheim, 15:17 durch den Treffer von Branko Vujovic für Hannover-Burgdorf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
77,32:58:00,15:16,Marian Michalczik (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 15:16.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
78,31:45:00,15:15,Patrick Groetzki (Rhein-Neckar Löwen) trifft von (RA). Neuer Spielstand in SAP Arena: 15:15.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
79,31:35:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm pariert den Wurf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
80,31:24:00,,Olle Forsell Schefvert von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
81,31:11:00,14:15,Tor! Jonathan Edvardsson (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 14:15.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
82,30:36:00,14:14,Jannik Kohlbacher (Rhein-Neckar Löwen) trifft zum Spielstand von 14:14 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
83,---,---,HALBZEIT (13:14),Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
84,29:57:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
85,29:45:00,13:14,Tor (6M)! Justus Fischer (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 13:14.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
86,28:45:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Benjamin Helander.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
87,28:34:00,,Christian Prokop (Hannover-Burgdorf) bekommt die Gelbe Karte von Kuttler/Merz gezeigt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
88,27:57:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,Hannover-Burgdorf,1,0,0,0,0,0,0,0
89,27:28:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Joel Birlehm.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
90,26:48:00,,Der Wurf von Rhein-Neckar Löwen wurde geblockt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
91,26:39:00,13:13,Marius Steinhauser (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 13:13.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
92,25:52:00,,Vincent Büchner von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
93,25:41:00,13:12,"Neuer Spielstand in Mannheim, 13:12 durch den Treffer 6M von Halil Jaganjac für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
94,25:29:00,,Benjamin Helander von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
95,24:45:00,12:12,Jonathan Edvardsson (Hannover-Burgdorf) trifft zum Spielstand von 12:12 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
96,23:59,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
97,23:02,12:11,Jannik Kohlbacher (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 12:11.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
98,22:12,11:11,Tor (6M)! Marius Steinhauser (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 11:11.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
99,21:28,,Veit Mävers von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
100,21:15,11:10,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 11:10.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
101,20:41,,Überragende Parade des Torwarts Joel Birlehm (Rhein-Neckar Löwen)! Veit Mävers kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
102,19:59,10:10,"Neuer Spielstand in Mannheim, 10:10 durch den Treffer 6M von Halil Jaganjac für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
103,19:50,,Branko Vujovic (Hannover-Burgdorf) scheitert am Torwart Joel Birlehm (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
104,18:50,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
105,18:45,9:10,"Neuer Spielstand in Mannheim, 9:10 durch den Treffer von Marian Michalczik für Hannover-Burgdorf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
106,17:51,9:09,Halil Jaganjac (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 9:9.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
107,17:20,8:09,Tor! Branko Vujovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 8:9.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
108,16:24,8:08,"Neuer Spielstand in Mannheim, 8:8 durch den Treffer RA von Patrick Groetzki für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
109,16:10,7:08,"Neuer Spielstand in Mannheim, 7:8 durch den Treffer von Veit Mävers für Hannover-Burgdorf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
110,15:05,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
111,14:57,7:07,Tor! Veit Mävers (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 7:7.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
112,14:47,7:06,Tor (RM/fern)! Halil Jaganjac (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 7:6.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
113,14:12,,Es gibt Gelb für Jonathan Edvardsson (Hannover-Burgdorf) von Kuttler/Merz.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
114,13:51,6:06,Veit Mävers (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in SAP Arena: 6:6.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
115,13:06,,Lattenkracher von Ilija Brozovic (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
116,12:48,,Auszeit Hannover-Burgdorf,Rhein-Neckar Löwen,Hannover-Burgdorf,0,1,0,0,0,0,0,0
117,12:34,6:05,Jannik Kohlbacher (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 6:5.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
118,12:16,,Jonathan Edvardsson von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
119,11:55,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
120,11:47,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm hält den Wurf von Ilija Brozovic.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
121,10:55,5:05,Branko Vujovic (Hannover-Burgdorf) trifft zum Spielstand von 5:5 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
122,9:22,5:04,"Torwurf von Marian Michalczik (Hannover-Burgdorf), aber der Ball trifft nur die Latte.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
123,8:49,4:04,"Tor von der 7-Meter Linie von Maximilian Gerbl (Hannover-Burgdorf), neuer Spielstand 4:4.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
124,8:40,,Kuttler/Merz verwarnen Patrick Groetzki (Rhein-Neckar Löwen) mit einer Gelben Karte.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
125,8:05,,"Torwurf von Marian Michalczik (Hannover-Burgdorf), aber der Ball trifft nur die Latte.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
126,7:54,4:03,Tor! Halil Jaganjac (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 4:3.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
127,7:13,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
128,6:14,3:03,"Neuer Spielstand in Mannheim, 3:3 durch den Treffer 6M von Albin Lagergren für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
129,6:06,,Überragende Parade des Torwarts Joel Birlehm (Rhein-Neckar Löwen)! Ilija Brozovic kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
130,5:49,,Olle Forsell Schefvert blockt den Wurf von Branko Vujovic.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
131,5:07,2:03,Albin Lagergren (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 2:3.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
132,4:02,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Albin Lagergren.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
133,3:48,1:03,Ilija Brozovic (Hannover-Burgdorf) trifft zum Spielstand von 1:3 in SAP Arena.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
134,3:38,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner pariert den Wurf.",Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
135,3:33,1:02,Jonathan Edvardsson (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 1:2.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
136,3:12,,Branko Vujovic (Hannover-Burgdorf) trifft die Latte.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
137,2:42,1:01,Tor (6M)! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 1:1.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
138,2:24,,Ilija Brozovic von Hannover-Burgdorf wurde mit der Gelben Karte von Kuttler/Merz verwarnt.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
139,1:41,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
140,1:11,,Rhein-Neckar Löwen wechselt den Torwart. Joel Birlehm kommt für Mikael Appelgren.,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
141,1:00,,Patrick Groetzki (Rhein-Neckar Löwen) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,Rhein-Neckar Löwen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
