,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,Niklas Michalski (Rhein-Neckar Löwen) scheitert am Torwart Adam Morawski (MT Melsungen).,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
2,59:27:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Juri Knorr.",Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
3,58:58:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
4,58:52:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
5,58:23:00,,Der Wurf von André Gomes (MT Melsungen) landet hinter dem Tor.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
6,58:10:00,,Adam Morawski (MT Melsungen) mit einer Parade.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
7,57:34:00,36:25:00,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 36:25.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
8,57:00:00,36:24:00,Niklas Michalski (Rhein-Neckar Löwen) trifft zum Spielstand von 36:24 in SAP Arena.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
9,56:22:00,,Joel Birlehm (Rhein-Neckar Löwen) hält den Wurf von Kai Häfner.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
10,56:13:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
11,55:19:00,35:24:00,Agustin Casado Marcelo (MT Melsungen) trifft von der 7-Meter Linie.,Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
12,54:22:00,,"Torwurf von Agustin Casado Marcelo (MT Melsungen), aber der Ball trifft nur die Latte.",Rhein-Neckar Löwen,MT Melsungen,0,0,0,0,0,0,0,0
