Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Mikael Appelgren.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:21:00,30:24:00,Luca Witzke (SC DHfK Leipzig) trifft zum Spielstand von 30:24 in SAP Arena.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:29:00,30:23:00,"Neuer Spielstand in Mannheim, 30:23 durch den Treffer LA von David Móré für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:53:00,29:23:00,Simon Ernst (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 29:23.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:15:00,29:22:00,Lucas Krzikalla (SC DHfK Leipzig) trifft von (RA). Neuer Spielstand in SAP Arena: 29:22.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:08:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,1,0,0,0
56:53:00,,"Philipp Ahouansou (RM/fern) wirft, jedoch neben das Tor.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,1,0,0,0
56:36:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,1,0,1,0,0,0
56:26:00,29:21:00,Tim Matthes (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 29:21.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,1,0,0,0
55:46:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,1,0,1,0,0,0
55:38:00,29:20:00,"Neuer Spielstand in Mannheim, 29:20 durch den Treffer von Tim Matthes für SC DHfK Leipzig.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,1,0,0,0
55:10:00,,Ymir Örn Gislason (Rhein-Neckar Löwen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,1,0,0,1
54:40:00,29:19:00,Tor (6M)! Jannik Kohlbacher (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 29:19.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:26:00,,Simon Ernst von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:00:00,28:19:00,"Neuer Spielstand in Mannheim, 28:19 durch den Treffer von Philipp Ahouansou für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:18:00,,Überragende Parade des Torwarts Mikael Appelgren (Rhein-Neckar Löwen)! Viggó Kristjánsson kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:57:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,1,0,0,0,0
52:48:00,27:19:00,"Tor von der 7-Meter Linie von Juri Knorr (Rhein-Neckar Löwen), neuer Spielstand 27:19.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:47:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:19:00,26:19:00,Mikael Appelgren (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 26:19.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:08:00,,Viggó Kristjánsson von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:05:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,1,0,0,0,0
50:53:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von Albin Lagergren.",Rhein-Neckar Löwen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
