,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:54:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm pariert den Wurf.",Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,58:21:00,,Emil Jakobsen (SG Flensburg-Handewitt) scheitert am Torwart Joel Birlehm (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
3,57:55:00,,Der Wurf von Albin Lagergren (Rhein-Neckar Löwen) landet hinter dem Tor.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
4,56:46:00,,Der Wurf von Halil Jaganjac (Rhein-Neckar Löwen) landet hinter dem Tor.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
5,55:43:00,,Torwartwechsel bei SG Flensburg-Handewitt. Benjamin Buric kommt für Kevin Møller.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
6,55:28:00,,SG Flensburg-Handewitt wechselt den Torwart. Kevin Møller kommt für Benjamin Buric.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,54:02:00,,Teitur Örn Einarsson von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
8,53:26:00,,Parade von Torwart Benjamin Buric (SG Flensburg-Handewitt).,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
9,52:00:00,,Es gibt Gelb für Sebastian Hinze (Rhein-Neckar Löwen) von Reich/Brodbeck.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
10,51:43:00,,Der Wurf von Rhein-Neckar Löwen wurde geblockt.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
11,48:56:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
12,48:34:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
13,47:36:00,,Der eingewechselte Torwart Mikael Appelgren (Rhein-Neckar Löwen) steht nun zwischen den Pfosten.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
14,59:24:00,28:27:00,Tor (6M)! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 28:27.,Rhein-Neckar Löwen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
