,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft von (RM/fern). Neuer Spielstand in SAP Arena: 37:28.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
2,59:32:00,,Borko Ristovski (TBV Lemgo Lippe) mit einer Parade.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
3,58:48:00,,Emil Buhl Lærke (TBV Lemgo Lippe) trifft zum Spielstand von 37:27 in SAP Arena.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
4,57:54:00,,"Block von Olle Forsell Schefvert, der den Torwurf von Niels Gerardus Versteijnen verhindert.",Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
5,57:45:00,,Zeitstrafe vorbei TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
6,57:29:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
7,57:19:00,37:26:00,Elias Scholtes (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 37:26.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
8,56:15:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
9,56:06:00,36:26:00,"Tor! Es war Juri Knorr (Rhein-Neckar Löwen), der das Tor von Ymir Örn Gislason vorbereitete.",Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
10,55:45:00,,Es gibt eine 2 Minuten Strafe für Lukas Zerbe (TBV Lemgo Lippe).,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,1,1,0
11,55:29:00,35:26:00,Emil Buhl Lærke (TBV Lemgo Lippe) trifft von (RR/fern). Neuer Spielstand in SAP Arena: 35:26.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
12,54:17:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
13,54:10:00,35:25:00,Niclas Kirkelokke (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 35:25.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
14,53:30:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth hält den Wurf von Niko Blaauw.",Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
15,53:10:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
16,52:56:00,34:25:00,"Neuer Spielstand in Mannheim, 34:25 durch den Treffer von Ymir Örn Gislason für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
17,52:47:00,,Tor! Bobby Schagen (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 33:25.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
18,52:14:00,33:24:00,"Neuer Spielstand in Mannheim, 33:24 durch den Treffer 6M von Halil Jaganjac für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
19,52:02:00,,David Späth (Rhein-Neckar Löwen) hält den Wurf von Emil Buhl Lærke.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
20,51:38:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
21,51:22:00,,Borko Ristovski (TBV Lemgo Lippe) mit einer Parade.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
22,51:16:00,32:24:00,Bobby Schagen (TBV Lemgo Lippe) trifft zum Spielstand von 32:24 in SAP Arena.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
23,50:52:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
24,50:48:00,32:23:00,Ymir Örn Gislason (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 32:23.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
25,50:13:00,,Tor (6M)! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 31:23.,Rhein-Neckar Löwen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
