Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:36:00,,Fehlwurf von Kristjan Horzen (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,0,0,0
58:45:00,40:23:00,"Neuer Spielstand in Mannheim, 40:23 durch den Treffer 6M von Stephan Seitz für HC Erlangen.",Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,0,0,0
58:00:00,,Zeitstrafe vorbei HC Erlangen,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,1,0,0
57:56:00,40:22:00,"Neuer Spielstand in Mannheim, 40:22 durch den Treffer von Juri Knorr für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,1,0,0
57:13:00,39:22:00,Simon Jeppsson (HC Erlangen) trifft von der 7-Meter Linie.,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,1,0,0
56:30:00,,Siebter Spieler eingewechselt HC Erlangen,Rhein-Neckar Löwen,HC Erlangen,0,0,0,1,0,1,0,0
56:16:00,39:21:00,Kristjan Horzen (Rhein-Neckar Löwen) trifft zum Spielstand von 39:21 in SAP Arena.,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,1,0,0
55:49:00,,2-Minuten-Strafe für Nico Büdel. HC Erlangen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,1,1,0
55:08:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,HC Erlangen,0,0,1,0,0,0,0,0
54:55:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren pariert den Wurf.",Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,0,0,0
54:00:00,,Olle Forsell Schefvert von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,HC Erlangen,0,0,0,0,0,0,0,0
