Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:47:00,34:24:00,Tor! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 34:24.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,0,0,0,0
58:57:00,34:23:00,Niclas Kirkelokke (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 34:23.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,0,0,0,0
58:23:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,1,0,0,0
58:20:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,HSG Wetzlar,0,0,1,0,1,0,0,0
58:09:00,33:23:00,Tor (6M)! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 33:23.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,1,0,0,0
57:15:00,33:22:00,"Neuer Spielstand in Mannheim, 33:22 durch den Treffer von Kristjan Horzen für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,1,0,0,0
56:35:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Rhein-Neckar Löwen,HSG Wetzlar,0,0,1,0,1,0,0,0
56:24:00,32:22:00,Lukas Becher (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 32:22.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,1,0,0,0
56:20:00,,"Nach einem harten Foul hat Niclas Kirkelokke (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,1,0,0,1
56:09:00,32:21:00,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 32:21.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,0,0,0,0
55:40:00,31:21:00,Adam Nyfjäll (HSG Wetzlar) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 31:21.,Rhein-Neckar Löwen,HSG Wetzlar,0,0,0,0,0,0,0,0
