Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:54:00,32:35:00,"Neuer Spielstand in Mannheim, 32:35 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:40:00,,Auszeit Handball Sport Verein Hamburg,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
59:34:00,32:34:00,Tor (6M)! Patrick Groetzki (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 32:34.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:04:00,,"Torwurf von Frederik Bo Andersen (Handball Sport Verein Hamburg), aber der Ball trifft nur die Latte.",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:36:00,31:34:00,Niclas Kirkelokke (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 31:34.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:06:00,30:34:00,"Neuer Spielstand in Mannheim, 30:34 durch den Treffer 6M von Leif Tissier für Handball Sport Verein Hamburg.",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:34:00,30:33:00,Olle Forsell Schefvert (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 30:33.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:16:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
57:07:00,29:33:00,Leif Tissier (Handball Sport Verein Hamburg) trifft zum Spielstand von 29:33 in SAP Arena.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:08:00,29:32:00,Andreas Magaard (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in SAP Arena: 29:32.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:23:00,,Jens Vortmann (Handball Sport Verein Hamburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:15:00,29:31:00,Der 7-Meter wurde von Uwe Gensheimer (Rhein-Neckar Löwen) erfolgreich verwandelt.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:11:00,,Nun wird Johannes Bitter für Handball Sport Verein Hamburg im Tor stehen.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:34:00,28:31:00,Ymir Örn Gislason (Rhein-Neckar Löwen) trifft zum Spielstand von 28:31 in SAP Arena.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:24:00,27:31:00,Andreas Magaard (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 27:31.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:41:00,,Jacob Arenth Lassen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:12:00,,Auszeit Handball Sport Verein Hamburg,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
52:39:00,27:30:00,"Neuer Spielstand in Mannheim, 27:30 durch den Treffer 6M von Leif Tissier für Handball Sport Verein Hamburg.",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
