Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,35:37:00,"Tor Lukas Mertens, SC Magdeburg",Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
59:23:00,35:36:00,"Tor David Späth, Rhein-Neckar Löwen",Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
58:46:00,34:36:00,Tor! Patrick Groetzki (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 34:36.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
58:42:00,33:36:00,"Tor Kay Smits, SC Magdeburg",Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
58:32:00,,Piotr Chrapkowski (SC Magdeburg) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,1,0
58:28:00,33:35:00,Jannik Kohlbacher (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 33:35.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
58:13:00,,David Späth (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,0
58:04:00,,2-Minuten-Strafe für Juri Knorr. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,1,1,0,1
58:04:00,,Lucas Meister (SC Magdeburg) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,1,0
57:23:00,,Parade von Torwart Nikola Portner (SC Magdeburg).,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,0,0,0
57:17:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,1,0,0,0,0,0
57:11:00,,Zeitstrafe vorbei SC Magdeburg.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
57:10:00,32:35:00,"Neuer Spielstand in Mannheim, 32:35 durch den Treffer von Kay Smits für SC Magdeburg.",Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
56:51:00,,Siebter Spieler eingewechselt SC Magdeburg.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,1,0,1,0,0
56:40:00,32:34:00,"Neuer Spielstand in Mannheim, 32:34 durch den Treffer LA von Uwe Gensheimer für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
56:24:00,,Christian O'Sullivan (SC Magdeburg) scheitert am Torwart David Späth (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
55:30:00,,Siebter Spieler eingewechselt SC Magdeburg.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,1,0,1,0,0
55:19:00,31:34:00,Uwe Gensheimer (Rhein-Neckar Löwen) trifft zum Spielstand von 31:34 in SAP Arena.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
55:03:00,,Michael Damgaard (SC Magdeburg) erhält eine 2 Minuten Strafe.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,1,0
54:55:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,1,0,0,0,0,0
52:39:00,,Überragende Parade des Torwarts Nikola Portner (SC Magdeburg)! Patrick Groetzki kann den Ball nicht im Tor unterbringen!,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,0,0,0
52:30:00,29:33:00,Tor (6M)! Christian O'Sullivan (SC Magdeburg) netzt ein zum neuen Spielstand von 29:33.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,0,0,0
51:46:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,Rhein-Neckar Löwen,SC Magdeburg,0,0,1,0,0,0,0,0
51:29:00,,David Späth (Rhein-Neckar Löwen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,0,0,0
51:23:00,,Zeitstrafe vorbei SC Magdeburg.,Rhein-Neckar Löwen,SC Magdeburg,0,0,0,0,0,1,0,0
