Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,David Späth (Rhein-Neckar Löwen) mit einer Parade.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
59:46:00,,Siebter Spieler eingewechselt THW Kiel.,Rhein-Neckar Löwen,THW Kiel,0,0,0,1,0,1,0,0
59:11:00,27:31:00,Niclas Ekberg (THW Kiel) trifft zum Spielstand von 27:31 in SAP Arena.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
58:58:00,,Auszeit THW Kiel,Rhein-Neckar Löwen,THW Kiel,0,1,0,0,0,1,0,0
58:40:00,,Siebter Spieler eingewechselt THW Kiel.,Rhein-Neckar Löwen,THW Kiel,0,0,0,1,0,1,0,0
58:25:00,27:30:00,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
58:21:00,,Magnus Landin (THW Kiel) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,1,0
58:11:00,26:30:00,Tor! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 26:30.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
57:21:00,26:29:00,"Neuer Spielstand in Mannheim, 26:29 durch den Treffer von Niclas Kirkelokke für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
57:10:00,,Harald Reinkind (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 25:29.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
56:33:00,25:28:00,Die Vorbereitung von Lukas Nilsson (Rhein-Neckar Löwen) führt zum Treffer durch Benjamin Helander.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
55:51:00,24:28:00,Sander Sagosen (THW Kiel) trifft von (6M). Neuer Spielstand in SAP Arena: 24:28.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
55:14:00,,Niclas Kirkelokke (Rhein-Neckar Löwen) scheitert am Torwart Niklas Landin (THW Kiel).,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
54:33:00,24:27:00,Olle Forsell Schefvert (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 24:27.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
54:21:00,,"Parade des Torwarts von Rhein-Neckar Löwen, David Späth.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
54:14:00,,Auszeit THW Kiel,Rhein-Neckar Löwen,THW Kiel,0,1,0,0,0,0,0,0
53:35:00,23:27,Tor (6M)! Niclas Kirkelokke (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 23:27.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
53:06:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,THW Kiel,1,0,0,0,0,0,0,0
52:57:00,22:27,"Neuer Spielstand in Mannheim, 22:27 durch den Treffer von Sander Sagosen für THW Kiel.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
51:17:00,,Parade von Torwart David Späth (Rhein-Neckar Löwen).,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
49:56:00,,Sander Sagosen von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
49:34:00,,Zeitstrafe vorbei THW Kiel,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
49:25:00,,Siebter Spieler eingewechselt THW Kiel.,Rhein-Neckar Löwen,THW Kiel,0,0,0,1,0,1,0,0
49:15:00,22:26,Jannik Kohlbacher (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SAP Arena: 22:26.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
48:44:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth hält den Wurf von Sander Sagosen.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
48:21:00,21:26,"Neuer Spielstand in Mannheim, 21:26 durch den Treffer 6M von Sander Sagosen für THW Kiel.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
47:51:00,,Siebter Spieler eingewechselt THW Kiel.,Rhein-Neckar Löwen,THW Kiel,0,0,0,1,0,1,0,0
47:48:00,,Niklas Landin (THW Kiel) hält den Wurf von Benjamin Helander.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,0,0
47:29:00,,Petter Øverby (THW Kiel) erhält eine 2 Minuten Strafe.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,1,1,0
47:15:00,,Der Wurf von Niclas Ekberg (THW Kiel) landet hinter dem Tor.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
46:38:00,21:25,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
46:23:00,,Tor! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 21:25.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
46:14:00,21:24,Niclas Kirkelokke (Rhein-Neckar Löwen) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 21:24.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
46:00:00,,Nun wird David Späth für Rhein-Neckar Löwen im Tor stehen.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
45:42:00,20:24,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 20:24.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
44:40:00,20:23,Der 7-Meter wurde von Juri Knorr (Rhein-Neckar Löwen) erfolgreich verwandelt.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
43:56:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,THW Kiel,1,0,0,0,0,0,0,0
43:41:00,19:23,Tor! Magnus Landin (THW Kiel) trifft zum Spielstand von 19:23 in SAP Arena.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
42:00:00,19:22,Tor! Patrick Wiencek (THW Kiel) netzt ein zum neuen Spielstand von 19:22.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
41:13:00,19:21,"Neuer Spielstand in Mannheim, 19:21 durch den Treffer 6M von Lukas Nilsson für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
40:30:00,18:21,"Neuer Spielstand in Mannheim, 18:21 durch den Treffer von Nikola Bilyk für THW Kiel.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
39:55:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
39:45:00,,Patrick Wiencek (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 18:20.,Rhein-Neckar Löwen,THW Kiel,0,0,0,0,0,0,0,0
