Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:40:00,37:42:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft zum Spielstand von 37:42 in SAP Arena.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
59:10:00,,"Neuer Spielstand in Mannheim, 37:41 durch den Treffer RA von Patrick Groetzki für Rhein-Neckar Löwen.",Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
58:44:00,36:41:00,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 36:41.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
57:58:00,36:40:00,Patrick Groetzki (Rhein-Neckar Löwen) trifft von (RA). Neuer Spielstand in SAP Arena: 36:40.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
57:32:00,35:40:00,Lukas Blohme (VfL Gummersbach) überwindet den Torwart von (RA) zum neuen Spielstand von 35:40.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
57:07:00,,Patrick Groetzki (Rhein-Neckar Löwen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:56:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm hält den Wurf von Lukas Blohme.",Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:30:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:15:00,35:39:00,Tom Jansen (VfL Gummersbach) trifft zum Spielstand von 35:39 in SAP Arena.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
55:53:00,35:38:00,Tor (6M)! Niclas Kirkelokke (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 35:38.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
55:21:00,34:38:00,Tor! Ole Pregler (VfL Gummersbach) netzt ein zum neuen Spielstand von 34:38.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
54:42:00,,"Der Torwart von Rhein-Neckar Löwen, Joel Birlehm pariert den Wurf.",Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
54:17:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
53:57:00,,Auszeit Rhein-Neckar Löwen,Rhein-Neckar Löwen,VfL Gummersbach,1,0,0,0,0,0,0,0
53:53:00,34:37:00,"Neuer Spielstand in Mannheim, 34:37 durch den Treffer von Lukas Blohme für VfL Gummersbach.",Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
53:09:00,34:36:00,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 34:36.,Rhein-Neckar Löwen,VfL Gummersbach,0,0,0,0,0,0,0,0
