,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:51:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
2,59:30:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
3,59:00:00,,Es gibt eine 2 Minuten Strafe für Sime Ivic (SC DHfK Leipzig).,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
4,58:55:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
5,58:42:00,,Der Wurf von ASV Hamm-Westfalen wurde geblockt.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
6,58:09:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
7,57:45:00,33:23:00,Marino Maric (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 33:23,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
8,56:57:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
9,56:33:00,32:23:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
10,56:29:00,,"Nach einem harten Foul hat Alexander Schulze (ASV Hamm-Westfalen) nun zwei Minuten Zeit, um sich auszuruhen.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
11,55:59:00,31:23:00,Tor! Marino Maric (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 31:23,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
12,54:39:00,30:23:00,Andreas Bornemann (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 30:23.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
13,54:34:00,30:22:00,Matej Klima (SC DHfK Leipzig) trifft zum Spielstand von 30:22 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
14,53:59:00,,Der 7-Meter wurde von Fabian Huesmann (ASV Hamm-Westfalen) erfolgreich verwandelt.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
15,53:27:00,29:22:00,"Wurf von Alexander Schulze (ASV Hamm-Westfalen), aber der Ball landet nur am Pfosten.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
16,53:12:00,29:21:00,Lucas Krzikalla (SC DHfK Leipzig) überwindet den Torwart von (RA) zum neuen Spielstand von 29:21.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
17,52:46:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
18,52:46:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
19,52:33:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
20,52:19:00,,"Der Torwart von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar hält den Wurf von Alexander Schulze.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21,52:04:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22,51:33:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
23,51:19:00,28:21:00,Tor (6M)! Fabian Huesmann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 28:21.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
24,50:39:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
25,49:48:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
26,49:44:00,28:20:00,"Tor von der 7-Meter Linie von Fabian Huesmann (ASV Hamm-Westfalen), neuer Spielstand 28:20.",SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
27,49:38:00,,Viggó Kristjánsson (SC DHfK Leipzig) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
28,49:25:00,,Luca Witzke von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
29,49:01:00,,Fabian Huesmann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
