Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,27:32:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand auf 27:32.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
59:21:00,26:32:00,Der 7-Meter wurde von Aaron Exner (Bergischer HC) erfolgreich verwandelt.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
57:49:00,,Wurfversuch von Isak Persson (Bergischer HC) aber der Ball landet an der Latte.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
57:17:00,26:31:00,Tor (6M)! Matej Klima (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 26:31.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
57:00:00,,Auszeit Bergischer HC,SC DHfK Leipzig,Bergischer HC,0,1,0,0,0,0,0,0
56:36:00,,Peter Johannesson (Bergischer HC) hält den Wurf von Luca Witzke.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
54:57:00,,Überragende Parade des Torwarts Peter Johannesson (Bergischer HC)! Sime Ivic kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,0,0,0
54:50:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Bergischer HC,0,0,1,0,1,0,0,0
54:45:00,25:31:00,"Neuer Spielstand in Leipzig, 25:31 durch den Treffer von Fabian Gutbrod für Bergischer HC.",SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,0,0,0
54:17:00,25:30:00,"54:17:00 25:30:00 Neuer Spielstand in Leipzig, 25:30 durch den Treffer RL/fern von Luca Witzke für SC DHfK Leipzig.",SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,0,0,0
53:48:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Bergischer HC,0,0,1,0,1,0,0,0
53:20:00,,Zeitstrafe vorbei Bergischer HC,SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,1,0,0
53:19:00,,Tim Matthes von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,1,0,0
53:19:00,,Viggó Kristjánsson geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,1,1,0,1
53:10:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,1,0,0
54:45:00,24:30:00,Fabian Gutbrod (Bergischer HC) trifft zum Spielstand von 24:30 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,1,0,0
52:49:00,,Siebter Spieler eingewechselt Bergischer HC,SC DHfK Leipzig,Bergischer HC,0,0,0,1,0,1,0,0
52:02:00,,Marino Maric von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,1,0,0
51:55:00,,Djibril M'Bengue (Bergischer HC) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,1,1,0
51:22:00,,SC DHfK Leipzig wechselt den Torwart. Mohamed Essam Moustafa El-Tayar kommt für Kristian Sæverås.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
50:55:00,24:29:00,Isak Persson (Bergischer HC) trifft von der 7-Meter Linie.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
50:48:00,,Kristian Sæverås (SC DHfK Leipzig) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
50:18:00,,Lattenkracher von Sime Ivic (SC DHfK Leipzig).,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
49:46:00,24:28:00,Noah Beyer (Bergischer HC) überwindet den Torwart von (LA) zum neuen Spielstand von 24:28.,SC DHfK Leipzig,Bergischer HC,0,0,0,0,0,0,0,0
