,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,25:26:00,Der 7-Meter wurde von Viggó Kristjánsson (SC DHfK Leipzig) erfolgreich verwandelt.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
2,59:44:00,,"Neuer Spielstand in Leipzig, 24:26 durch den Treffer 6M von Till Hermann für FRISCH AUF! Göppingen.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
3,59:24:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
4,59:15:00,24:25:00,Hendrik Hanemann (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 24:25.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
5,58:50:00,23:25,"Tor von der 7-Meter Linie von Axel Goller (FRISCH AUF! Göppingen), neuer Spielstand 23:25.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
6,58:45:00,,Nun wird Mohamed Essam Moustafa El-Tayar für SC DHfK Leipzig im Tor stehen.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
7,57:54:00,23:24,Tor (6M)! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 23:24.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
8,57:45:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von Kresimir Kozina.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
9,56:29:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
10,55:45:00,,Der 7-Meter von Sime Ivic (SC DHfK Leipzig) landet nicht im Tor.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
11,55:08:00,,Josip Sarac von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
12,54:58:00,,Marko Mamic blockt den Wurf von David Schmidt.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
13,54:39:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
14,54:19:00,,"Gute Torchance, aber Patrick Wiesmach (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
15,54:05:00,,Parade von Torwart Daniel Rebmann (FRISCH AUF! Göppingen).,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
16,53:18:00,22:24,Kresimir Kozina (FRISCH AUF! Göppingen) trifft zum Spielstand von 22:24 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
17,52:49:00,22:23,Tor! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 22:23.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
18,52:18:00,,Axel Goller (FRISCH AUF! Göppingen) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
19,51:54:00,,Überragende Parade des Torwarts Kristian Sæverås (SC DHfK Leipzig)! Josip Sarac kann den Ball nicht...,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
20,51:24:00,,Der Wurf von Patrick Wiesmach (SC DHfK Leipzig) landet hinter dem Tor.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
21,51:16:00,,"Gute Torchance, aber Josip Sarac (FRISCH AUF! Göppingen) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
22,50:41:00,,"Parade des Torwarts von FRISCH AUF! Göppingen, Daniel Rebmann.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
23,50:02:00,21:23,"Neuer Spielstand in Leipzig, 21:23 durch den Treffer von David Schmidt für FRISCH AUF! Göppingen.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
24,49:28:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
25,49:19:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann pariert den Wurf.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
26,48:37:00,,Kristian Sæverås (SC DHfK Leipzig) hält den Wurf von Tobias Ellebaek.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
27,48:18:00,,Matthias Albrecht von SC DHfK Leipzig wurde mit der Gelben Karte von Hannes/Hannes verwarnt.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
28,47:45:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
29,47:34:00,21:22,"Neuer Spielstand in Leipzig, 21:22 durch den Treffer 6M von Sime Ivic für SC DHfK Leipzig.",SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
30,47:18:00,,2-Minuten-Strafe für Hartmut Mayerhoffer. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten...,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
31,47:16:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
32,47:12:00,,Kresimir Kozina von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
