,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:55:00,26:31:00,Tim Freihöfer (Füchse Berlin) überwindet den Torwart von (LA) zum neuen Spielstand von 26:31.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
2,59:10:00,26:30:00,Lucas Krzikalla (SC DHfK Leipzig) trifft von (RA). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 26:30.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
3,58:36:00,25:30:00,Tor (RM/fern)! Paul Drux (Füchse Berlin) netzt ein zum neuen Spielstand von 25:30.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
4,58:17:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
5,58:01:00,25:29:00,Hans Lindberg (Füchse Berlin) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 25:29.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
6,57:31:00,25:28:00,Tor! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 25:28.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
7,56:37:00,25:27:00,"Neuer Spielstand in Leipzig, 25:27 durch den Treffer von Marko Mamic für SC DHfK Leipzig.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
8,56:10:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
9,56:02:00,24:27:00,"Neuer Spielstand in Leipzig, 24:27 durch den Treffer 6M von Lasse Bredekjaer Andersson für Füchse Berlin.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
10,55:39:00,,Nun wird Victor Kireev für Füchse Berlin im Tor stehen.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
11,55:34:00,24:26:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand auf 24:26.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
12,55:26:00,,"Der Trainer von Füchse Berlin, Jaron Siewert stellt nun Dejan Milosavljev zwischen die Pfosten.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
13,55:08:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,1,0,0,0,0,0,0,0
14,55:08:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
15,55:08:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,0,0,0
16,54:58:00,23:26,Mijajlo Marsenic (Füchse Berlin) trifft zum Spielstand von 23:26 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,0,0,0
17,54:21:00,23:25,Lukas Binder (SC DHfK Leipzig) trifft von (LA). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 23:25.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,0,0,0
18,53:59:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,1,0,0,0
19,53:56:00,,Zeitstrafe vorbei Füchse Berlin,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,1,0,0
20,53:48:00,,Fehlwurf von Lasse Bredekjaer Andersson (Füchse Berlin).,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,1,0,0
21,53:32:00,,Siebter Spieler eingewechselt Füchse Berlin,SC DHfK Leipzig,Füchse Berlin,0,0,0,1,1,1,0,0
22,53:19:00,,"Gute Torchance, aber Lukas Binder (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,1,0,0
23,53:00:00,,Marko Mamic (SC DHfK Leipzig) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,1,1,0,1
24,53:00:00,22:25,"Neuer Spielstand in Leipzig, 22:25 durch den Treffer 6M von Jacob Holm für Füchse Berlin.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,1,0,0
25,52:59:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,1,0,0
26,51:59:00,,Siebter Spieler eingewechselt Füchse Berlin,SC DHfK Leipzig,Füchse Berlin,0,0,0,1,0,1,0,0
27,51:52:00,22:24,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,1,0,0
28,51:46:00,,"Nach einem harten Foul hat Milos Vujovic (Füchse Berlin) nun zwei Minuten Zeit, um sich auszuruhen.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,1,1,0
29,51:20:00,21:24,Tor (6M)! Marko Kopljar (Füchse Berlin) netzt ein zum neuen Spielstand von 21:24.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
30,50:43:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
31,50:33:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) hält den Wurf von Milos Vujovic.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
32,49:34:00,,Auszeit Füchse Berlin,SC DHfK Leipzig,Füchse Berlin,0,1,0,0,0,0,0,0
33,49:23:00,21:23,Marko Mamic (SC DHfK Leipzig) trifft zum Spielstand von 21:23 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
34,49:09:00,,"Jacob Holm (RM/fern) wirft, jedoch neben das Tor.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
35,48:32:00,20:23,Lucas Krzikalla (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 20:23.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
36,48:03:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
37,47:56:00,19:23,"Neuer Spielstand in Leipzig, 19:23 durch den Treffer von Mijajlo Marsenic für Füchse Berlin.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
38,47:01:00,,Überragende Parade des Torwarts Victor Kireev (Füchse Berlin)! Luca Witzke kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
39,46:47:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Füchse Berlin,0,0,1,0,0,0,0,0
40,46:28:00,,"Der Torwart von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar pariert den Wurf.",SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
41,45:48:00,19:22,Lucas Krzikalla (SC DHfK Leipzig) überwindet den Torwart von (RA) zum neuen Spielstand von 19:22.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
42,45:32:00,18:22,Tor! Hans Lindberg (Füchse Berlin) netzt ein zum neuen Spielstand von 18:22.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
43,45:18:00,18:21,Tor! Mijajlo Marsenic (Füchse Berlin) netzt ein zum neuen Spielstand von 18:21.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
44,44:35:00,18:20,Marko Mamic (SC DHfK Leipzig) trifft zum Spielstand von 18:20 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Füchse Berlin,0,0,0,0,0,0,0,0
