,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,32:29:00,Johannes Sellin (HC Erlangen) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 32:29.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
2,59:55:00,,"Der Torwart von HC Erlangen, Bertram Obling hält den Wurf von Paul Bones.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
3,59:34:00,32:28:00,"Neuer Spielstand in Leipzig, 32:28 durch den Treffer 6M von Justin Kurch für HC Erlangen.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
4,59:05:00,,Paul Bones von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
5,58:38:00,32:27:00,"Neuer Spielstand in Leipzig, 32:27 durch den Treffer von Yannik Bialowas für HC Erlangen.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
6,57:37:00,,Der Wurf von Lutz Heiny (HC Erlangen) landet hinter dem Tor.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
7,57:25:00,,Siebter Spieler eingewechselt HC Erlangen,SC DHfK Leipzig,HC Erlangen,0,0,0,1,0,0,0,0
8,57:18:00,32:26:00,Simon Ernst (SC DHfK Leipzig) trifft zum Spielstand von 32:26 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
9,56:30:00,31:26:00,Die Vorbereitung von Lutz Heiny (HC Erlangen) führt zum Treffer durch Justin Kurch.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
10,56:11:00,,Siebter Spieler eingewechselt HC Erlangen,SC DHfK Leipzig,HC Erlangen,0,0,0,1,0,0,0,0
11,56:01:00,,"Simon Ernst (RM/fern) wirft, jedoch neben das Tor.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
12,55:34:00,31:25:00,Tor (RM/fern)! Lutz Heiny (HC Erlangen) netzt ein zum neuen Spielstand von 31:25.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
13,55:04:00,,Siebter Spieler eingewechselt HC Erlangen,SC DHfK Leipzig,HC Erlangen,0,0,0,1,0,0,0,0
14,53:59:00,,"Block von Nikolai Link, der den Torwurf von Viggó Kristjánsson verhindert.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
15,53:43:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,HC Erlangen,1,0,0,0,0,0,0,0
16,53:32:00,31:24:00,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 31:24.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
17,53:15:00,,Simon Ernst von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
18,52:41:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
19,52:30:00,,"Gute Torchance, aber Luca Witzke (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
20,51:32:00,,Siebter Spieler eingewechselt HC Erlangen,SC DHfK Leipzig,HC Erlangen,0,0,0,1,0,0,0,0
21,51:24:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
22,51:17:00,31:23:00,Luca Witzke (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 31:23.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
23,50:15:00,30:23:00,Tor! Johannes Sellin (HC Erlangen) netzt ein zum neuen Spielstand von 30:23.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
24,50:09:00,,Lattenkracher von Patrick Wiesmach (SC DHfK Leipzig).,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
25,49:58:00,,Der Wurf von HC Erlangen wurde geblockt.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
26,49:38:00,30:22:00,"Tor Simon Ernst, SC DHfK Leipzig",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
27,49:31:00,,Wurfversuch von Manuel Zehnder (HC Erlangen) aber der Ball landet an der Latte.,SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
28,49:26:00,,Siebter Spieler eingewechselt HC Erlangen,SC DHfK Leipzig,HC Erlangen,0,0,0,1,0,0,0,0
29,49:11:00,29:22:00,"Neuer Spielstand in Leipzig, 29:22 durch den Treffer 6M von Patrick Wiesmach für SC DHfK Leipzig.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
30,48:30:00,,"Torwurf von Christopher Bissel (HC Erlangen), aber der Ball trifft nur die Latte.",SC DHfK Leipzig,HC Erlangen,0,0,0,0,0,0,0,0
