,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,22:23,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 22:23.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
2,59:51:00,22:22,Marino Maric (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 22:22.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
3,59:48:00,,Niklas Weller (Handball Sport Verein Hamburg) trifft nur den Pfosten.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
4,59:34:00,,Auszeit Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
5,59:12:00,21:22,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
6,58:43:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
7,58:39:00,20:22,"Neuer Spielstand in Leipzig, 20:22 durch den Treffer RM/fern von Jacob Arenth Lassen für Handball Spor",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
8,57:24:00,,"Block von Niklas Weller, der den Torwurf von Luca Witzke verhindert.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
9,56:13:00,20:21,Tor (RM/fern)! Jacob Arenth Lassen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
10,55:57:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
11,55:43:00,,Viggó Kristjánsson von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
12,55:18:00,,"Parade des Torwarts von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
13,55:11:00,,Marko Mamic blockt den Wurf von Jacob Arenth Lassen.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
14,55:03:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
15,54:22:00,,Auszeit Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,1,0,0,0,1,0,0
16,54:15:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,1,0,1,0,0
17,53:55:00,,Dominik Axmann geht den Gegner zu stark an. Handball Sport Verein Hamburg muss nun die nächsten zwei M,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
18,53:53:00,20:20,Lukas Binder (SC DHfK Leipzig) trifft von (RM/fern). Neuer Spielstand in QUARTERBACK Immobilien ARENA:,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
19,53:22:00,,Milos Putera (SC DHfK Leipzig) bekommt die Gelbe Karte von Kern/Kuschel gezeigt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
20,53:02:00,,Niklas Weller (Handball Sport Verein Hamburg) erhält eine 2 Minuten Strafe.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
21,52:47:00,19:20,Tor! Jacob Arenth Lassen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 19:20.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
22,52:04:00,19:19,Luca Witzke (SC DHfK Leipzig) trifft zum Spielstand von 19:19 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
23,51:19:00,18:19,"Neuer Spielstand in Leipzig, 18:19 durch den Treffer von Frederik Bo Andersen für Handball Sport Verein Hamburg.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
24,50:29:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
25,50:29:00,,Der Wurf von Handball Sport Verein Hamburg wurde geblockt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
26,49:38:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter hält den Wurf von Lucas Krzikalla.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
27,49:31:00,,Jacob Arenth Lassen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
28,48:19:00,,Marko Mamic von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
29,47:33:00,,Johannes Bitter (Handball Sport Verein Hamburg) hält den Wurf von Lukas Binder.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
30,47:24:00,,Der Wurfversuch von Viggó Kristjánsson (SC DHfK Leipzig) wurde durch einen Block von Niklas Weller verhindert.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
31,46:04:00,,Azat Valiullin von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
32,45:33:00,18:18,Tor! Marino Maric (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 18:18.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
33,44:32:00,,Der Wurf von Dani Baijens (Handball Sport Verein Hamburg) landet hinter dem Tor.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
34,43:40:00,,"Block von Jacob Arenth Lassen, der den Torwurf von Sime Ivic verhindert.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
35,43:10:00,,"Block von Jacob Arenth Lassen, der den Torwurf von Sime Ivic verhindert.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
36,42:33:00,17:18,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft zum Spielstand von 17:18 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
37,41:50:00,17:17,Sime Ivic (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 17:17.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
38,41:14:00,,Der eingewechselte Torwart Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) steht nun zwischen den Pfosten.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39,40:54:00,16:17,"Tor von der 7-Meter Linie von Casper Ulrich Mortensen (Handball Sport Verein Hamburg), neuer Spielstand 16:17.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
40,40:50:00,,Kristian Sæverås (SC DHfK Leipzig) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
41,40:43:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
42,40:41:00,16:16,Marino Maric (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 16:16.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
43,40:22:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
44,40:04:00,,"Torwurf von Niklas Weller (Handball Sport Verein Hamburg), aber der Ball trifft nur die Latte.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
45,39:37:00,,Luca Witzke (SC DHfK Leipzig) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
46,38:59:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
47,38:35:00,,Simon Ernst (SC DHfK Leipzig) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
48,38:25:00,,Der Wurfversuch von Jacob Arenth Lassen (Handball Sport Verein Hamburg) wurde durch einen Block von Sime Ivic verhindert.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49,37:50:00,,Der 7-Meter von Sime Ivic (SC DHfK Leipzig) landet nicht im Tor.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50,36:17:00,15:16,Niklas Weller (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 15:16.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51,36:09:00,,Marko Mamic blockt den Wurf von Jacob Arenth Lassen.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52,35:21:00,15:15,Tor (LA)! Lukas Binder (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 15:15.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53,35:04:00,,Überragende Parade des Torwarts Johannes Bitter (Handball Sport Verein Hamburg)! Simon Ernst kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54,34:51:00,,Johannes Bitter (Handball Sport Verein Hamburg) mit einer Parade.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55,34:18:00,,SC DHfK Leipzig wechselt den Torwart. Mohamed Essam Moustafa El-Tayar kommt für Kristian Sæverås.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56,34:12:00,,"Parade von Kristian Sæverås, Casper Ulrich Mortensen vergibt von der 7-Meter Linie!",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57,34:02:00,,Torwartwechsel bei SC DHfK Leipzig. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58,33:37:00,,"Lucas Krzikalla (6M) wirft, jedoch neben das Tor.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59,32:34:00,14:15,"Neuer Spielstand in Leipzig, 14:15 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
60,31:59:00,14:14,"Neuer Spielstand in Leipzig, 14:14 durch den Treffer 6M von Marino Maric für SC DHfK Leipzig.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
61,31:28:00,,Nun wird Mohamed Essam Moustafa El-Tayar für SC DHfK Leipzig im Tor stehen.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
62,31:21:00,13:14,Der 7-Meter wurde von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
63,31:13:00,,"Der Trainer von SC DHfK Leipzig, André Haber stellt nun Kristian Sæverås zwischen die Pfosten.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
64,30:36:00,13:13,Lucas Krzikalla (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 13:13.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
65,HALBZ,13:13,,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
66,30:00:00,,"Gute Torchance, aber Jacob Arenth Lassen (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
67,29:36:00,,Auszeit Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
68,29:32:00,12:13,Tor! Simon Ernst (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 12:13.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
69,28:59:00,11:13,"Neuer Spielstand in Leipzig, 11:13 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
70,28:15:00,11:12,Jacob Arenth Lassen (Handball Sport Verein Hamburg) trifft zum Spielstand von 11:12 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
71,27:13:00,11:11,"Neuer Spielstand in Leipzig, 11:11 durch den Treffer RM/fern von Simon Ernst für SC DHfK Leipzig.",SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
72,26:31:00,10:11,Tor (RM/fern)! Jacob Arenth Lassen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 10:11.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
73,26:19:00,,Marino Maric von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
74,25:48:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
75,25:25:00,10:10,Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 10:10.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
76,24:48:00,,Fehlwurf von Marino Maric (SC DHfK Leipzig).,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
77,23:42,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
78,23:17,10:09,Lukas Binder (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 10:9.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
79,23:14,,Leif Tissier von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
80,22:51,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,SC DHfK Leipzig,Handball Sport Verein Hamburg,0,0,0,1,1,1,0,0
