,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:36:00,,Kristian Sæverås (SC DHfK Leipzig) hält den Wurf von André Gomes.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
2,59:23:00,40:33:00,Tor! Marino Maric (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 40:33.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
3,59:07:00,,Zeitstrafe vorbei MT Melsungen,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,0,0
4,58:47:00,39:33:00,"Neuer Spielstand in Leipzig, 39:33 durch den Treffer von Elvar Örn Jonsson für MT Melsungen.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,0,0
5,58:00:00,39:32:00,Sime Ivic (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 39:32.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,0,0
6,57:30:00,38:32:00,Tor! Lukas Binder (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 38:32.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,0,0
7,57:16:00,,Siebter Spieler eingewechselt MT Melsungen,SC DHfK Leipzig,MT Melsungen,0,0,0,1,0,1,0,0
8,57:05:00,37:32:00,Der 7-Meter wurde von Viggó Kristjánsson (SC DHfK Leipzig) erfolgreich verwandelt.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,0,0
9,57:00:00,,Agustin Casado Marcelo (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,1,1,0
10,56:18:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
11,56:11:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,MT Melsungen,0,0,0,0,1,0,0,0
12,56:00:00,,Parade von Torwart Adam Morawski (MT Melsungen).,SC DHfK Leipzig,MT Melsungen,0,0,0,0,1,0,0,0
13,55:37:00,36:32:00,Simon Ernst (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 36:32.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,1,0,0,0
14,54:31:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,MT Melsungen,0,0,1,0,1,0,0,0
15,54:13:00,35:32:00,Aidenas Malasinskas (MT Melsungen) trifft von der 7-Meter Linie.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,1,0,0,0
16,54:08:00,,"Der disqualifizierte Matej Klima muss das Spielfeld verlassen, aber SC DHfK Leipzig wird nach 2 Minuten wieder auffüllen dürfen.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,1,0,0,1
17,54:07:00,,"Parade von Kristian Sæverås, Ivan Martinovic vergibt von der 7-Meter Linie!",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
18,53:29:00,,Auszeit MT Melsungen,SC DHfK Leipzig,MT Melsungen,0,1,0,0,0,0,0,0
19,53:22:00,35:31:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 35:31.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
20,52:31:00,34:31:00,Tor (6M)! Patrick Wiesmach (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 34:31,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
21,52:24:00,,Fehlwurf von Kai Häfner (MT Melsungen).,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
22,51:23:00,33:31:00,"Neuer Spielstand in Leipzig, 33:31 durch den Treffer von Patrick Wiesmach für SC DHfK Leipzig.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
23,51:12:00,,Kai Häfner (MT Melsungen) trifft von (RM/fern). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 32:31.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
24,51:06:00,,MT Melsungen wechselt den Torwart. Adam Morawski kommt für Nebojsa Simic.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
25,50:42:00,32:30:00,"Neuer Spielstand in Leipzig, 32:30 durch den Treffer 6M von Sime Ivic für SC DHfK Leipzig.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
26,50:34:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von Agustin Casado Marcelo.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
27,49:58:00,31:30:00,Matej Klima (SC DHfK Leipzig) trifft zum Spielstand von 31:30 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
28,49:01:00,,Tor! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 30:30.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
29,48:36:00,30:29:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 30:29.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
30,48:27:00,,Agustin Casado Marcelo (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 29:29.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
31,47:31:00,29:28:00,"Neuer Spielstand in Leipzig, 29:28 durch den Treffer von Viggó Kristjánsson für SC DHfK Leipzig.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
32,47:06:00,,"Parade des Torwarts von MT Melsungen, Nebojsa Simic.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
33,46:17:00,,Elvar Örn Jonsson (MT Melsungen) trifft nur den Pfosten.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
34,45:08:00,28:28:00,Tor (RM/fern)! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 28:28.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
35,44:55:00,,Dimitri Ignatow (MT Melsungen) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
36,44:32:00,27:28:00,Simon Ernst (SC DHfK Leipzig) trifft zum Spielstand von 27:28 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
37,44:20:00,,Elvar Örn Jonsson (MT Melsungen) trifft von (RM/fern). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 26:28.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
38,43:01:00,26:27:00,"Neuer Spielstand in Leipzig, 26:27 durch den Treffer 6M von Matej Klima für SC DHfK Leipzig.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
39,42:29:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,MT Melsungen,1,0,0,0,0,0,0,0
40,42:17:00,,Kai Häfner (MT Melsungen) trifft zum Spielstand von 25:27 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
41,25:27:00,42:05:00,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
42,41:14:00,,Überragende Parade des Torwarts Kristian Sæverås (SC DHfK Leipzig)! Arnar Freyr Arnarsson kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
43,40:39:00,,Nebojsa Simic (MT Melsungen) hält den Wurf von Luca Witzke.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
44,25:26:00,40:00:00,Tor! Dimitri Ignatow (MT Melsungen) netzt ein zum neuen Spielstand von 25:26.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
45,39:25:00,25:25:00,Marino Maric (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 25:25.,SC DHfK Leipzig,MT Melsungen,0,0,0,0,0,0,0,0
