,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,31:30:00,"Neuer Spielstand in Leipzig, 31:30 durch den Treffer 6M von Viggó Kristjánsson für SC DHfK Leipzig.",SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,59:13:00,30:30:00,Johan Hansen (SG Flensburg-Handewitt) trifft zum Spielstand von 30:30 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
3,58:53:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
4,58:40:00,30:29:00,Tor! Lukas Binder (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 30:29.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
5,57:53:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
6,57:51:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,57:39:00,29:29:00,Tor (6M)! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 29:29.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
8,57:18:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
9,56:51:00,,"Wurf von Sime Ivic (SC DHfK Leipzig), aber der Ball landet nur am Pfosten.",SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
10,56:41:00,29:28:00,Magnus Abelvik Rød (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 29:28.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
11,55:59:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
12,55:16:00,,Es gibt eine 2 Minuten Strafe für Benjamin Buric (SG Flensburg-Handewitt).,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,1,1,0
13,55:08:00,,Hans Aaron Mensing von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
14,54:47:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
15,54:39:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
16,54:32:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller pariert den Wurf.",SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
17,53:39:00,29:27:00,Anton Lindskog (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 29:27.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
18,53:16:00,29:26:00,"Neuer Spielstand in Leipzig, 29:26 durch den Treffer RM/fern von Luca Witzke für SC DHfK Leipzig.",SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
19,52:36:00,,Tim Matthes geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
20,52:35:00,28:26:00,"Neuer Spielstand in Leipzig, 28:26 durch den Treffer von Magnus Abelvik Rød für SG Flensburg-Handewitt.",SC DHfK Leipzig,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
