,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:53:00,,"Neuer Spielstand in Leipzig, 22:32 durch den Treffer von Petter Øverby für THW Kiel.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,1,0,0
2,59:16:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,1,0,0
3,59:05:00,,Niklas Landin (THW Kiel) mit einer Parade.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,1,0,0
4,58:52:00,,Eric Johansson (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,1,1,0
5,58:51:00,,"Wurf von Harald Reinkind (THW Kiel), aber der Ball landet nur am Pfosten.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
6,57:11:00,,Oskar Sunnefeldt (SC DHfK Leipzig) scheitert am Torwart Niklas Landin (THW Kiel).,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
7,56:44:00,22:31,Tor! Petter Øverby (THW Kiel) netzt ein zum neuen Spielstand von 22:31.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
8,56:03:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
9,54:50:00,22:30,Patrick Wiencek (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 22:30.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
10,54:25:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
11,54:12:00,22:29,"Neuer Spielstand in Leipzig, 22:29 durch den Treffer 6M von Maciej Gebala für SC DHfK Leipzig.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
12,53:40:00,21:29,Tor (6M)! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 21:29.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
13,52:51:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
14,52:39:00,21:28,Maciej Gebala (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 21:28.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
15,52:12:00,20:28,"Neuer Spielstand in Leipzig, 20:28 durch den Treffer von Petter Øverby für THW Kiel.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
16,51:35:00,20:27,Tor! Oskar Sunnefeldt (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 20:27.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
17,51:03:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
18,50:52:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
19,50:07:00,19:27,Steffen Weinhold (THW Kiel) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 19:27.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
20,48:52:00,19:26,Sven Ehrig (THW Kiel) trifft zum Spielstand von 19:26 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
21,48:13:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
22,47:31:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,THW Kiel,0,0,1,0,0,0,0,0
23,47:15:00,19:25,Patrick Wiencek (THW Kiel) trifft zum Spielstand von 19:25 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
24,46:55:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
25,46:50:00,,Tonnies/Schulze verwarnen André Haber (SC DHfK Leipzig) mit einer Gelben Karte.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
26,46:46:00,,Sven Ehrig (THW Kiel) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
27,46:11:00,,Kristian Sæverås (SC DHfK Leipzig) hält den Wurf von Eric Johansson.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
28,45:48:00,,Auszeit THW Kiel,SC DHfK Leipzig,THW Kiel,0,1,0,0,0,0,0,0
29,45:21:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
30,45:10:00,19:24,Lukas Binder (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 19:24.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
31,44:40:00,18:24,"Neuer Spielstand in Leipzig, 18:24 durch den Treffer von Magnus Landin für THW Kiel.",SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
32,44:09:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
33,43:39:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,THW Kiel,1,0,0,0,0,0,0,0
34,43:25:00,,Petter Øverby von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,THW Kiel,0,0,0,0,0,0,0,0
35,42:45:00,,Siebter Spieler eingewechselt THW Kiel,SC DHfK Leipzig,THW Kiel,0,0,0,1,0,0,0,0
