Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
59:53:00,,Auszeit GWD Minden,SC DHfK Leipzig,GWD Minden,0,1,0,0,0,0,0,0
59:46:00,31:31:00,Matej Klima (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 31:31.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
59:27:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,GWD Minden,1,0,0,0,0,0,0,0
58:52:00,30:31:00,Tor! Niclas Pieczkowski (GWD Minden) netzt ein zum neuen Spielstand von 30:31.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
58:16:00,30:30:00,Lucas Krzikalla (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand auf 30:30.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
57:44:00,29:30:00,Mohamed Amine Darmoul (GWD Minden) trifft zum Spielstand von 29:30 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
56:52:00,,Parade von Torwart Yahav Shamir (GWD Minden).,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
56:22:00,29:29:00,Mohamed Amine Darmoul (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 29:29.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
56:05:00,29:28:00,Der 7-Meter wurde von Lucas Krzikalla (SC DHfK Leipzig) erfolgreich verwandelt.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
55:15:00,28:28:00,"Neuer Spielstand in Leipzig, 28:28 durch den Treffer LA von Mats Korte für GWD Minden.",SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
55:03:00,,Parade von Torwart Yahav Shamir (GWD Minden).,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
54:30:00,28:27:00,Tor (RL/fern)! Philipp Ahouansou (GWD Minden) netzt ein zum neuen Spielstand von 28:27.,SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
54:22:00,,"Parade des Torwarts von GWD Minden, Yahav Shamir.",SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
53:19:00,28:26:00,"Neuer Spielstand in Leipzig, 28:26 durch den Treffer von Mats Korte für GWD Minden.",SC DHfK Leipzig,GWD Minden,0,0,0,0,0,0,0,0
