Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
59:42:00,38:29:00,Tor (6M)! Mika Laurin Sajenev (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 38:29.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
37:29:00,,Tor! Hendrik Wagner (HSG Wetzlar) netzt ein zum neuen Spielstand von 37:29.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
59:00:00,37:28:00,Niclas Heitkamp (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 37:28.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
58:31:00,36:28:00,Hendrik Wagner (HSG Wetzlar) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 36:28.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
58:10:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC DHfK Leipzig,HSG Wetzlar,0,0,0,1,0,0,0,0
58:06:00,36:27:00,"Tor Patrick Wiesmach, SC DHfK Leipzig",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
57:34:00,,"Sime Ivic (6M) wirft, jedoch neben das Tor.",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
57:17:00,,"Block von Hendrik Wagner, der den Torwurf von Oskar Sunnefeldt verhindert.",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
35:27:00,56:27:00,"Neuer Spielstand in Leipzig, 35:27 durch den Treffer von Nikita Pliuto für HSG Wetzlar.",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
55:47:00,35:26:00,"Neuer Spielstand in Leipzig, 35:26 durch den Treffer von Oskar Sunnefeldt für SC DHfK Leipzig.",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
55:40:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
55:19:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC DHfK Leipzig,HSG Wetzlar,0,0,0,1,0,0,0,0
54:58:00,34:26:00,Maciej Gebala (SC DHfK Leipzig) trifft zum Spielstand von 34:26 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
54:12:00,33:26:00,Tor (6M)! Nikita Pliuto (HSG Wetzlar) netzt ein zum neuen Spielstand von 33:26.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
53:52:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC DHfK Leipzig,HSG Wetzlar,0,0,0,1,0,0,0,0
53:39:00,33:25:00,Luca Witzke (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 33:25.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
53:02:00,32:25:00,Adam Nyfjäll (HSG Wetzlar) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 32:25.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
52:55:00,32:24:00,Sime Ivic (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 32:24.,SC DHfK Leipzig,HSG Wetzlar,0,0,0,0,0,0,0,0
