Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Matej Klima.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:33:00,29:31:00,Branko Vujovic (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 29:31.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:30:00,29:30:00,Oskar Sunnefeldt (SC DHfK Leipzig) legt den Treffer von Tim Matthes auf. Es steht 29:30.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:03:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:21:00,,Zeitstrafe vorbei Hannover-Burgdorf,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,0,0
58:05:00,,"Gute Torchance, aber Matej Klima (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,0,0
57:38:00,28:30:00,Branko Vujovic (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 28:30.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,0,0
57:26:00,,Auszeit Hannover-Burgdorf,SC DHfK Leipzig,Hannover-Burgdorf,0,1,0,0,0,1,0,0
57:00:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,1,0,1,0,0
56:52:00,,Sime Ivic (SC DHfK Leipzig) trifft nur den Pfosten.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,0,0
56:27:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,0,0
56:03:00,28:29:00,"Nach einem harten Foul hat Hannes Feise (Hannover-Burgdorf) nun zwei Minuten Zeit, um sich auszuruhen.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,1,1,0
55:58:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,1,0,0,0,0
55:58:00,,Domenico Ebner (Hannover-Burgdorf) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:32:00,27:29:00,Tor! Branko Vujovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:29.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:20:00,27:28:00,"Neuer Spielstand in Leipzig, 27:28 durch den Treffer von Oskar Sunnefeldt für SC DHfK Leipzig.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:53:00,,Torwartwechsel bei SC DHfK Leipzig. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:50:00,26:28:00,Branko Vujovic (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 26:28.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:31:00,,"Der Trainer von SC DHfK Leipzig, Runar Sigtryggsson stellt nun Mohamed Essam Moustafa El-Tayar zwischen die Pfosten.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:19:00,26:27:00,Lucas Krzikalla (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 26:27.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:58:00,,Christian Prokop von Hannover-Burgdorf wurde mit der Gelben Karte von Schmidt/Linker verwarnt.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:57:00,,Hannes Feise von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:10:00,25:27:00,Sime Ivic (SC DHfK Leipzig) trifft zum Spielstand von 25:27 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:35:00,24:27:00,Veit Mävers (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 24:27.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:26:00,,Fehlwurf von Oskar Sunnefeldt (SC DHfK Leipzig).,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:12:00,,Evgeni Pevnov blockt den Wurf von Simon Ernst.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:38:00,,"Parade des Torwarts von Hannover-Burgdorf, Dario Quenstedt.",SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:28:00,24:26:00,Tor! Maximilian Gerbl (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 24:26.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49:44:00,24:25:00,Tor (6M)! Oskar Sunnefeldt (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 24:25.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49:13:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,Hannover-Burgdorf,0,0,0,0,0,0,0,0
