Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:47:00,,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft von (RM/fern). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 37:29.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
59:27:00,37:28:00,Finn-Lukas Leun (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 37:28.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
58:54:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
58:44:00,36:28:00,Niclas Heitkamp (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 36:28.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
58:11:00,35:28:00,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie und bringt den Spielstand auf 35:28.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
58:07:00,,Lucas Krzikalla geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
57:58:00,35:27:00,Finn-Lukas Leun (SC DHfK Leipzig) trifft zum Spielstand von 35:27 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:09:00,,Pascal Bochmann (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:09:00,,Fehlwurf von Niclas Heitkamp (SC DHfK Leipzig).,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:06:00,,"Der Trainer von SC DHfK Leipzig, Runar Sigtryggsson stellt nun Pascal Bochmann zwischen die Pfosten.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:29:00,,Niclas Kirkelokke von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:13:00,,Viggó Kristjánsson von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:30:00,34:27:00,Tor (RM/fern)! Juri Knorr (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 34:27.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:22:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
54:53:00,,Überragende Parade des Torwarts Kristian Sæverås (SC DHfK Leipzig)! Lion Zacharias kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
54:21:00,34:26:00,Tor! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 34:26.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
53:22:00,,Niclas Kirkelokke von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
53:05:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
52:58:00,33:26:00,"Tor von der 7-Meter Linie von Viggó Kristjánsson (SC DHfK Leipzig), neuer Spielstand 33:26.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
52:55:00,,Kristjan Horzen geht den Gegner zu stark an. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
52:49:00,32:26:00,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft zum Spielstand von 32:26 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:05:00,,Sime Ivic von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:27:00,32:25:00,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 32:25.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:18:00,32:24:00,Tor (RM/fern)! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 32:24.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
50:53:00,31:24:00,"Neuer Spielstand in Leipzig, 31:24 durch den Treffer RR/fern von Lukas Nilsson für Rhein-Neckar Löwen.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
50:27:00,,Auszeit Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
50:21:00,31:23:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 31:23.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
50:18:00,,Kristian Sæverås (SC DHfK Leipzig) hält den Wurf von Juri Knorr.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
50:07:00,30:23:00,"Neuer Spielstand in Leipzig, 30:23 durch den Treffer von Patrick Wiesmach für SC DHfK Leipzig.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
49:50:00,29:23:00,Moritz Preuss (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 29:23.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
49:05:00,28:23:00,Tor! Lukas Nilsson (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 28:23.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
48:56:00,,Lattenkracher von Sime Ivic (SC DHfK Leipzig).,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
48:10:00,28:22:00,Der 7-Meter wurde von Juri Knorr (Rhein-Neckar Löwen) erfolgreich verwandelt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
47:26:00,28:21:00,"Neuer Spielstand in Leipzig, 28:21 durch den Treffer von Lukas Nilsson für Rhein-Neckar Löwen.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
47:01:00,28:20:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
46:06:00,,"Gute Torchance, aber Jannik Kohlbacher (Rhein-Neckar Löwen) kann diese nicht erfolgreich verwandeln.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
45:54:00,27:20:00,Sime Ivic (SC DHfK Leipzig) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 27:20.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
45:07:00,,Auszeit SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
44:52:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
44:31:00,,Rúnar Sigtryggsson von SC DHfK Leipzig wurde mit der Gelben Karte von Otto/Piper verwarnt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
44:14:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43:20:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43:20:00,,Wurfversuch von Sime Ivic (SC DHfK Leipzig) aber der Ball landet an der Latte.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
42:09:00,,Lion Zacharias (Rhein-Neckar Löwen) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
41:48:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
41:09:00,26:20:00,Tor! Patrick Groetzki (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 26:20.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
41:00:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren hält den Wurf von Lukas Binder.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
40:49:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
40:23:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
40:09:00,26:19:00,Albin Lagergren (Rhein-Neckar Löwen) tankt sich durch und erzielt einen Treffer zum 26:19.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
39:45:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
39:34:00,26:18:00,Lukas Binder (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 26:18.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
39:07:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
38:55:00,25:18:00,"Tor von der 7-Meter Linie von Juri Knorr (Rhein-Neckar Löwen), neuer Spielstand 25:18.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
38:44:00,,Patrick Wiesmach (SC DHfK Leipzig) erhält eine 2 Minuten Strafe.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
38:25:00,25:17:00,Tor (6M)! Maciej Gebala (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 25:17.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
37:50:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
37:34:00,24:17:00,Der 7-Meter wurde von Juri Knorr (Rhein-Neckar Löwen) erfolgreich verwandelt.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
37:30:00,,Viggó Kristjánsson (SC DHfK Leipzig) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
37:18:00,,Der Wurfversuch von Matej Klima (SC DHfK Leipzig) wurde durch einen Block von Jannik Kohlbacher verhindert.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
36:31:00,24:16:00,"Neuer Spielstand in Leipzig, 24:16 durch den Treffer LA von Lion Zacharias für Rhein-Neckar Löwen.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
35:52:00,24:15:00,Matej Klima (SC DHfK Leipzig) trifft zum Spielstand von 24:15 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
35:11:00,,Überragende Parade des Torwarts Kristian Sæverås (SC DHfK Leipzig)! Benjamin Helander kann den Ball nicht im Tor unterbringen!,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
34:34:00,23:15,Matej Klima (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 23:15.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
34:26:00,22:15,Tor! Lukas Nilsson (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 22:15.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
33:21:00,,Auszeit Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
33:19:00,22:14,Viggó Kristjánsson (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in QUARTERBACK Immobilien ARENA: 22:14.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
33:18:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade beim 7-Meter.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
32:38:00,,"Albin Lagergren (RM/fern) wirft, jedoch neben das Tor.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
32:29:00,21:14,"Neuer Spielstand in Leipzig, 21:14 durch den Treffer von Maciej Gebala für SC DHfK Leipzig.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
32:19:00,20:14,"Neuer Spielstand in Leipzig, 20:14 durch den Treffer LA von Benjamin Helander für Rhein-Neckar Löwen.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
31:51:00,20:13,Tor (RM/fern)! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 20:13.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
30:44:00,,Der Wurf von Viggó Kristjánsson (SC DHfK Leipzig) landet hinter dem Tor.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
30:32:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
30:00:00,,HALBZEIT (19:13),SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
29:59:00,,Mikael Appelgren (Rhein-Neckar Löwen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
29:46:00,19:13,Viggó Kristjánsson (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 19:13.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
29:14:00,,Tim Matthes (SC DHfK Leipzig) scheitert am Torwart Joel Birlehm (Rhein-Neckar Löwen).,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
28:25:00,18:13,Simon Ernst (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 18:13.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
27:52:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
27:43:00,,Lukas Nilsson mit dem Lattenkracher. Was für ein Pech.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
26:51:00,,Wurf gehalten SC DHfK Leipzig,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
26:42:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
26:09:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
25:58:00,17:13,Tim Matthes (SC DHfK Leipzig) trifft zum Spielstand von 17:13 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
