Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,25:30:00,Tor (RM/fern)! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 25:30.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
59:38:00,,"Parade des Torwarts von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar.",SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
58:52:00,25:29:00,Jorge Serrano Villalobos (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 25:29.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
58:31:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
58:19:00,,"Der Torwart von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar hält den Wurf von Jorge Serrano Villalobos.",SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
57:52:00,25:28:00,Tim Matthes (SC DHfK Leipzig) trifft zum Spielstand von 25:28 in QUARTERBACK Immobilien ARENA.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
57:25:00,24:28:00,Tor! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 24:28.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
56:44:00,24:27:00,"Neuer Spielstand in Leipzig, 24:27 durch den Treffer RM/fern von Adam Lönn für TVB Stuttgart.",SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
56:01:00,24:26:00,"Neuer Spielstand in Leipzig, 24:26 durch den Treffer von Matej Klima für SC DHfK Leipzig.",SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
55:20:00,23:26,Tor! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:26.,SC DHfK Leipzig,TVB Stuttgart,0,0,0,0,0,0,0,0
