,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,31:23:00,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
2,59:29:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Vladimir Bozic.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
3,58:51:00,31:22:00,Tim Hornke (SC Magdeburg) trifft zum Spielstand von 31:22 in GETEC Arena.,SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
4,58:42:00,,Überragende Parade des Torwarts Nikola Portner (SC Magdeburg)! Yonatan Dayan kann den Ball nicht im Tor unterbringen!,SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
5,58:24:00,,Auszeit ASV Hamm-Westfalen,SC Magdeburg,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
6,58:08:00,30:22:00,"Neuer Spielstand in Magdeburg, 30:22 durch den Treffer von Philipp Weber für SC Magdeburg.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
7,57:29:00,,"Gute Torchance, aber Andreas Bornemann (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
8,57:18:00,,Parade von Torwart Vladimir Bozic (ASV Hamm-Westfalen).,SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
9,56:42:00,29:22:00,"Neuer Spielstand in Magdeburg, 29:22 durch den Treffer RA von Jan Pretzewofsky für ASV Hamm-Westfalen.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
10,56:08:00,,"Der Towart von ASV Hamm-Westfalen, Vladimir Bozic pariert den gegebenen 7-Meter.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
11,55:33:00,29:21:00,"Neuer Spielstand in Magdeburg, 29:21 durch den Treffer 6M von Benjamin Meschke für ASV Hamm-Westfalen.",SC Magdeburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
