Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,33:29:00,Kay Smits (SC Magdeburg) trifft zum Spielstand von 33:29 in GETEC Arena.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:34:00,32:29:00,Tor! Josip Sarac (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 32:29.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:55:00,32:28:00,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:30:00,,"Der Trainer von SC Magdeburg, Bennet Wiegert stellt nun Niclas Behrendt zwischen die Pfosten.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:14:00,31:28:00,Josip Sarac (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 31:28.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:50:00,,Der Wurfversuch von Michael Damgaard (SC Magdeburg) wurde durch einen Block von Gilberto Brito Duarte verhindert.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:11:00,31:27:00,"Neuer Spielstand in Magdeburg, 31:27 durch den Treffer 6M von Jaka Malus für FRISCH AUF! Göppingen.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:33:00,,Marin Sego (FRISCH AUF! Göppingen) hält den Wurf von Lukas Mertens.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:36:00,31:26:00,Tor (RM/fern)! Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 31:26.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:07:00,31:25:00,Tor! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 31:25.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:16:00,30:25:00,"Neuer Spielstand in Magdeburg, 30:25 durch den Treffer von Josip Sarac für FRISCH AUF! Göppingen.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:37:00,30:24:00,Marko Bezjak (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 30:24.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:23:00,,Kresimir Kozina von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:53:00,29:24:00,Magnus Saugstrup (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 29:24.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:19:00,,Gilberto Brito Duarte (FRISCH AUF! Göppingen) trifft nur den Pfosten.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
51:45:00,28:24:00,Daniel Pettersson (SC Magdeburg) trifft von (RA). Neuer Spielstand in GETEC Arena: 28:24.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
51:04:00,27:24:00,"Neuer Spielstand in Magdeburg, 27:24 durch den Treffer RM/fern von Josip Sarac für FRISCH AUF! Göppingen.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
50:30:00,27:23:00,Tor (RA)! Daniel Pettersson (SC Magdeburg) netzt ein zum neuen Spielstand von 27:23.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
50:19:00,,Nikola Portner (SC Magdeburg) mit einer Parade.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
49:36:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
48:58:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego pariert den Wurf.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
48:49:00,,Überragende Parade des Torwarts Nikola Portner (SC Magdeburg)! Jaka Malus kann den Ball nicht im Tor unterbringen!,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
48:02:00,26:23:00,Daniel Pettersson (SC Magdeburg) trifft zum Spielstand von 26:23 in GETEC Arena.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
47:56:00,,"Block von Magnus Saugstrup, der den Torwurf von Gilberto Brito Duarte verhindert.",SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
47:47:00,,Der Wurf von SC Magdeburg wurde geblockt.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
47:01:00,,Auszeit SC Magdeburg,SC Magdeburg,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
46:58:00,25:23:00,Tor (LA)! Oskar Neudeck (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 25:23.,SC Magdeburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
