Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:0039:25,1900-,Michael Damgaard (SC Magdeburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 39:25.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
59:18:00,,"Mathias Bitsch (RR/fern) wirft, jedoch neben das Tor.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
58:46:00,38:35:00,Kay Smits (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 38:25.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
58:20:00,37:25:00,Tor! Jonah Jungmann (GWD Minden) netzt ein zum neuen Spielstand von 37:25.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
57:41:00,37:24:00,Tor (RA)! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 37:24.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
57:21:00,36:24:00,Tomas Urban (GWD Minden) überwindet den Torwart von (RA) zum neuen Spielstand von 36:24.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
56:05:00,36:23:00,Matthias Musche (SC Magdeburg) trifft zum Spielstand von 36:23 in GETEC Arena.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
55:06:00,35:23:00,Tim Hornke (SC Magdeburg) trifft von (RA). Neuer Spielstand in GETEC Arena: 35:23.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
54:22:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
53:31:00,34:23:00,Mathias Bitsch (GWD Minden) überwindet den Torwart zum neuen Spielstand von 34:23.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
52:54:00,34:22:00,"Neuer Spielstand in Magdeburg, 34:22 durch den Treffer von Omar Ingi Magnusson für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
52:50:00,,"Parade von Yahav Shamir, Omar Ingi Magnusson vergibt von der 7-Meter Linie!",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
52:28:00,,Überragende Parade des Torwarts Mike Jensen (SC Magdeburg)! Magnus Holpert kann den Ball nicht im Tor unterbringen!,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
51:58:00,  33:22.   ,"Neuer Spielstand in Magdeburg, 33:22 durch den Treffer 6M von Matthias Musche für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
51:58:00,33:22:00,"Neuer Spielstand in Magdeburg, 33:22 durch den Treffer 6M von Matthias Musche für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
51:17:00,  32:22.  ,Tor! Lucas Meister (SC Magdeburg) netzt ein zum neuen Spielstand von 32:22.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
50:36:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
49:28:00,31:22:00,Tor (RA)! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 31:22.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
48:26:00,30:22:00,Jonah Jungmann (GWD Minden) trifft von (6M). Neuer Spielstand in GETEC Arena: 30:22.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
47:51:00,30:21:00,Magnus Saugstrup (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 30:21.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
47:45:00,,"Jonah Jungmann (6M) wirft, jedoch neben das Tor.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
47:25:00,,Zeitstrafe vorbei GWD Minden,SC Magdeburg,GWD Minden,0,0,0,0,0,1,0,0
47:19:00,,Siebter Spieler eingewechselt GWD Minden,SC Magdeburg,GWD Minden,0,0,0,1,0,1,0,0
47:02:00,29:21:00,Matthias Musche (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 29:21.,SC Magdeburg,GWD Minden,0,0,0,0,0,1,0,0
46:16:00,28:21:00,"Neuer Spielstand in Magdeburg, 28:21 durch den Treffer von Matthias Musche für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,1,0,0
45:47:00,,Siebter Spieler eingewechselt GWD Minden,SC Magdeburg,GWD Minden,0,0,0,1,0,1,0,0
45:36:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Matthias Musche.",SC Magdeburg,GWD Minden,0,0,0,0,0,1,0,0
45:23:00,,Es gibt eine 2 Minuten Strafe für Justus Nicolas Richtzenhain (GWD Minden).,SC Magdeburg,GWD Minden,0,0,0,0,0,1,1,0
44:54:00,27:21:00,Justus Nicolas Richtzenhain (GWD Minden) trifft zum Spielstand von 27:21 in GETEC Arena.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
44:36:00,,Überragende Parade des Torwarts Mike Jensen (SC Magdeburg)! Mathias Bitsch kann den Ball nicht im Tor unterbringen!,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
44:05:00,27:20:00,"Neuer Spielstand in Magdeburg, 27:20 durch den Treffer 6M von Marko Bezjak für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
43:58:00,,Mats Korte (GWD Minden) scheitert am Torwart Mike Jensen (SC Magdeburg).,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
43:27:00,26:20:00,"Neuer Spielstand in Magdeburg, 26:20 durch den Treffer von Michael Damgaard für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
42:53:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Mats Korte.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
42:21:00,25:20:00,Tor! Omar Ingi Magnusson (SC Magdeburg) netzt ein zum neuen Spielstand von 25:20.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
41:54:00,24:20:00,Justus Nicolas Richtzenhain (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 24:20,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
41:34:00,24:19:00,"Neuer Spielstand in Magdeburg, 24:19 durch den Treffer RM/fern von Magnus Holpert für GWD Minden.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
41:03:00,,Gisli Thorgeir Kristjansson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
39:33:00,24:18:00,Tim Hornke (SC Magdeburg) trifft zum Spielstand von 24:18 in GETEC Arena.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
38:50:00,,Auszeit GWD Minden,SC Magdeburg,GWD Minden,0,1,0,0,0,0,0,0
38:38:00,,Fehlwurf von Michael Damgaard (SC Magdeburg).,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
38:29:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
37:51:00,23:18,Gisli Thorgeir Kristjansson (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 23:18.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
37:38:00,22:18,Niclas Pieczkowski (GWD Minden) überwindet den Torwart zum neuen Spielstand von 22:18.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
37:28:00,,Carles Asensio Cambra blockt den Wurf von Gisli Thorgeir Kristjansson.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
36:46:00,,Parade von Torwart Malte Semisch (GWD Minden).,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
36:30:00,22:17,Tor (6M)! Carles Asensio Cambra (GWD Minden) netzt ein zum neuen Spielstand von 22:17.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
35:50:00,22:16,Tor! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 22:16.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
35:42:00,21:16,Tor (RM/fern)! Niclas Pieczkowski (GWD Minden) netzt ein zum neuen Spielstand von 21:16.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
34:49:00,21:15,"Neuer Spielstand in Magdeburg, 21:15 durch den Treffer von Matthias Musche für SC Magdeburg.",SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
33:27:00,20:15,Tomas Urban (GWD Minden) trifft zum Spielstand von 20:15 in GETEC Arena.,SC Magdeburg,GWD Minden,0,0,0,0,0,0,0,0
