Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:45:00,31:28:00,Justin Kurch (HC Erlangen) trifft von (6M). Neuer Spielstand in GETEC Arena: 31:28.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
59:01:00,31:27:00,"Neuer Spielstand in Magdeburg, 31:27 durch den Treffer RR/fern von Omar Ingi Magnusson für SC Magdeburg.",SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
58:10:00,30:27:00,Tor (RL/fern)! Simon Jeppsson (HC Erlangen) netzt ein zum neuen Spielstand von 30:27.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
57:56:00,,Klemen Ferlin (HC Erlangen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
57:41:00,30:26:00,Der 7-Meter wurde von Omar Ingi Magnusson (SC Magdeburg) erfolgreich verwandelt.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
57:05:00,29:26:00,Justin Kurch (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:26.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
56:45:00,,Zeitstrafe vorbei HC Erlangen,SC Magdeburg,HC Erlangen,0,0,0,0,0,1,0,0
56:42:00,,Siebter Spieler eingewechselt HC Erlangen,SC Magdeburg,HC Erlangen,0,0,0,1,0,1,0,0
56:32:00,29:25:00,Tor! Magnus Saugstrup (SC Magdeburg) netzt ein zum neuen Spielstand von 29:25.,SC Magdeburg,HC Erlangen,0,0,0,0,1,1,0,0
55:43:00,28:25:00,"Neuer Spielstand in Magdeburg, 28:25 durch den Treffer 6M von Lutz Heiny für HC Erlangen.",SC Magdeburg,HC Erlangen,0,0,0,0,1,1,0,0
55:20:00,,Siebter Spieler eingewechselt HC Erlangen,SC Magdeburg,HC Erlangen,0,0,0,1,1,1,0,0
55:09:00,28:24:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 28:24.,SC Magdeburg,HC Erlangen,0,0,0,0,1,1,0,0
54:44:00,,Sebastian Firnhaber (HC Erlangen) erhält eine Rote Karte.,SC Magdeburg,HC Erlangen,0,0,0,0,1,1,1,0
54:44:00,,Es gibt eine 2 Minuten Strafe für Sebastian Firnhaber (HC Erlangen).,SC Magdeburg,HC Erlangen,0,0,0,0,1,1,1,0
53:55:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,HC Erlangen,0,0,1,0,1,0,0,0
53:52:00,,SC Magdeburg wechselt den Torwart. Nikola Portner kommt für Mike Jensen.,SC Magdeburg,HC Erlangen,0,0,0,0,1,0,0,0
53:45:00,27:24:00,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 27:24.",SC Magdeburg,HC Erlangen,0,0,0,0,1,0,0,0
53:40:00,,Piotr Chrapkowski geht den Gegner zu stark an. SC Magdeburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC Magdeburg,HC Erlangen,0,0,0,0,1,0,0,1
53:40:00,,Der Schiedsrichter zeigt Piotr Chrapkowski (SC Magdeburg) die Rote Karte.,SC Magdeburg,HC Erlangen,0,0,0,0,1,0,0,1
53:39:00,,Der eingewechselte Torwart Mike Jensen (SC Magdeburg) steht nun zwischen den Pfosten.,SC Magdeburg,HC Erlangen,0,0,0,0,0,0,0,0
