,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:43:00,32:28:00,Lars Weissgerber (HSG Wetzlar) trifft von der 7-Meter Linie.,SC Magdeburg,HSG Wetzlar,0,0,0,0,1,0,0,0
2,59:09:00,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Gisli Thorgeir Kristjansson.",SC Magdeburg,HSG Wetzlar,0,0,0,0,1,0,0,0
3,58:45:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,HSG Wetzlar,0,0,1,0,1,0,0,0
4,58:42:00,,Es gibt eine 2 Minuten Strafe für Philipp Weber (SC Magdeburg).,SC Magdeburg,HSG Wetzlar,0,0,0,0,1,0,0,1
5,58:42:00,32:27:00,Lars Weissgerber (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 32:27.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
6,57:51:00,32:26:00,"Neuer Spielstand in Magdeburg, 32:26 durch den Treffer von Emil Mellegard für HSG Wetzlar.",SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
7,57:08:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
8,56:59:00,32:25:00,"Neuer Spielstand in Magdeburg, 32:25 durch den Treffer RR/fern von Gisli Thorgeir Kristjansson für SC Magdeburg.",SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
9,56:29:00,,Radojica Cepic von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
10,56:18:00,,Bennet Wiegert von SC Magdeburg wurde mit der Gelben Karte von Thiyagarajah/Thiyagarajah verwarnt.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
11,56:13:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC Magdeburg,HSG Wetzlar,0,0,0,1,0,0,0,0
12,56:03:00,,Till Klimpke (HSG Wetzlar) hält den Wurf von Kay Smits.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
13,55:21:00,,Der Wurf von Lenny Rubin (HSG Wetzlar) landet hinter dem Tor.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
14,55:02:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC Magdeburg,HSG Wetzlar,0,0,0,1,0,0,0,0
15,54:52:00,31:25:00,Tor! Philipp Weber (SC Magdeburg) netzt ein zum neuen Spielstand von 31:25.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
16,54:21:00,30:25:00,"Tor! Es war Adam Nyfjäll (HSG Wetzlar), der das Tor von Emil Mellegard vorbereitete.",SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
17,53:53:00,,Siebter Spieler eingewechselt HSG Wetzlar,SC Magdeburg,HSG Wetzlar,0,0,0,1,0,0,0,0
18,53:46:00,30:24:00,Tim Hornke (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 30:24.,SC Magdeburg,HSG Wetzlar,0,0,0,0,0,0,0,0
