Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,Christian O'Sullivan blockt den Wurf von Leif Tissier.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:41:00,32:28:00,Tor (LA)! Matthias Musche (SC Magdeburg) netzt ein zum neuen Spielstand von 32:28.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:32:00,,Auszeit SC Magdeburg,SC Magdeburg,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
59:01:00,,Jacob Arenth Lassen (Handball Sport Verein Hamburg) scheitert am Torwart Nikola Portner (SC Magdeburg).,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:38:00,31:28:00,Tor! Philipp Weber (SC Magdeburg) netzt ein zum neuen Spielstand von 31:28.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:50:00,,Der Wurf von Handball Sport Verein Hamburg wurde geblockt.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:31:00,,Auszeit Handball Sport Verein Hamburg,SC Magdeburg,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
57:03:00,30:28:00,"Neuer Spielstand in Magdeburg, 30:28 durch den Treffer von Oscar Bergendahl für SC Magdeburg.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:44:00,,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (LA) zum neuen Spielstand von 29:28.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:03:00,,"Parade des Torwarts von SC Magdeburg, Nikola Portner.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:00:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:20:00,29:27:00,Philipp Weber (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 29:27.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:46:00,,Parade von Torwart Nikola Portner (SC Magdeburg).,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:26:00,28:27:00,Kay Smits (SC Magdeburg) trifft zum Spielstand von 28:27 in GETEC Arena.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:53:00,,"Neuer Spielstand in Magdeburg, 27:27 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:21:00,27:26:00,Gisli Thorgeir Kristjansson (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 27:26.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:52:00,26:26:00,Der 7-Meter wurde von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:43:00,,"Der Trainer von SC Magdeburg, Bennet Wiegert stellt nun Mike Jensen zwischen die Pfosten.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:01:00,26:25:00,Die Vorbereitung von Dominik Axmann (Handball Sport Verein Hamburg) führt zum Treffer durch Niklas Weller.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:21:00,,Auszeit Handball Sport Verein Hamburg,SC Magdeburg,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
50:18:00,26:24:00,"Neuer Spielstand in Magdeburg, 26:24 durch den Treffer von Kay Smits für SC Magdeburg.",SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:39:00,,Niklas Weller von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:32:00,25:24:00,Kay Smits (SC Magdeburg) tankt sich durch und trifft!,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:00:00,,Jacob Arenth Lassen (Handball Sport Verein Hamburg) scheitert am Torwart Nikola Portner (SC Magdeburg).,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:28:00,24:24:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 24:24.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
46:59:00,23:24,Tor! Andreas Magaard (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 23:24.,SC Magdeburg,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
