Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Ivan Martinovic.",SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
59:54:00,27:23:00,Michael Damgaard (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 27:23.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
59:18:00,,Dimitri Ignatow (MT Melsungen) scheitert am Torwart Mike Jensen (SC Magdeburg).,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
59:07:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
59:03:00,,Der Wurfversuch von Michael Damgaard (SC Magdeburg) wurde durch einen Block von Gleb Kalarash verhindert.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
58:10:00,26:23:00,Tor (6M)! Gleb Kalarash (MT Melsungen) netzt ein zum neuen Spielstand von 26:23.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
57:47:00,,Siebter Spieler eingewechselt MT Melsungen.,SC Magdeburg,MT Melsungen,0,0,0,1,0,0,0,0
57:43:00,26:22:00,Tor! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 26:22.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
56:54:00,,Parade von Torwart Nebojsa Simic (MT Melsungen).,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
56:16:00,,Gleb Kalarash (MT Melsungen) trifft nur den Pfosten.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
55:44:00,,Siebter Spieler eingewechselt MT Melsungen.,SC Magdeburg,MT Melsungen,0,0,0,1,0,0,0,0
55:33:00,25:22:00,"Neuer Spielstand in Magdeburg, 25:22 durch den Treffer 6M von Magnus Saugstrup für SC Magdeburg.",SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
54:59:00,,Auszeit SC Magdeburg.,SC Magdeburg,MT Melsungen,1,0,0,0,0,0,0,0
54:56:00,24:22:00,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 24:22.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
54:28:00,,Siebter Spieler eingewechselt MT Melsungen.,SC Magdeburg,MT Melsungen,0,0,0,1,0,0,0,0
54:20:00,24:21:00,Christian O'Sullivan (SC Magdeburg) trifft von (LA). Neuer Spielstand in GETEC Arena: 24:21.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
54:02:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Elvar Örn Jonsson.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
53:50:00,,"Parade des Torwarts von MT Melsungen, Nebojsa Simic.",SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
53:24:00,23:21,Agustin Casado Marcelo (MT Melsungen) trifft zum Spielstand von 23:21 in GETEC Arena.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
53:00:00,23:20,Tor (RM/fern)! Kay Smits (SC Magdeburg) netzt ein zum neuen Spielstand von 23:20.,SC Magdeburg,MT Melsungen,0,0,0,0,0,0,0,0
51:36:00,,Zeitstrafe vorbei MT Melsungen,SC Magdeburg,MT Melsungen,0,0,0,0,0,1,0,0
51:22:00,22:20,"Neuer Spielstand in Magdeburg, 22:20 durch den Treffer von David Mandic für MT Melsungen.",SC Magdeburg,MT Melsungen,0,0,0,0,0,1,0,0
50:51:00,,Siebter Spieler eingewechselt MT Melsungen,SC Magdeburg,MT Melsungen,0,0,0,1,0,1,0,0
