,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:47:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Simon Ernst.",SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
2,59:46:00,32:24:00,Viggó Kristjánsson (SC DHfK Leipzig) trifft zum Spielstand von 32:24 in GETEC Arena.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
3,59:40:00,,"Simon Ernst wirft auf das Tor, trifft aber nur den Pfosten.",SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
4,59:33:00,,"Wurf von Michael Damgaard (SC Magdeburg), aber der Ball landet nur am Pfosten.",SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
5,59:01:00,32:23:00,Staffan Peter (SC DHfK Leipzig) überwindet den Torwart von (RA) zum neuen Spielstand von 32:23.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
6,58:29:00,32:22:00,Tor! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 32:22.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
7,58:02:00,31:22:00,Matej Klima (SC DHfK Leipzig) trifft von (RM/fern). Neuer Spielstand in GETEC Arena: 31:22.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
8,57:50:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
9,56:48:00,31:21:00,Tor (RM/fern)! Lucas Meister (SC Magdeburg) netzt ein zum neuen Spielstand von 31:21.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
10,56:44:00,,Matej Klima (SC DHfK Leipzig) scheitert am Torwart Mike Jensen (SC Magdeburg).,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
11,56:16:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,1,0,1,0,0
12,55:49:00,,Es gibt eine 2 Minuten Strafe für Sime Ivic (SC DHfK Leipzig).,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,1,0
13,55:42:00,30:21:00,"Neuer Spielstand in Magdeburg, 30:21 durch den Treffer RL/fern von Staffan Peter für SC DHfK Leipzig.",SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
14,55:14:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
15,54:42:00,30:20:00,Lucas Meister (SC Magdeburg) trifft zum Spielstand von 30:20 in GETEC Arena.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
16,54:14:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,1,0,1,0,0
17,54:06:00,29:20:00,"Neuer Spielstand in Magdeburg, 29:20 durch den Treffer von Kay Smits für SC Magdeburg.",SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
18,53:51:00,28:20:00,Mika Laurin Sajenev (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 28:20.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
19,53:19:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,1,0,1,0,0
20,53:15:00,28:19:00,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
21,53:11:00,,Viggó Kristjánsson geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,1,0
22,53:00:00,27:19:00,Tor! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 27:19.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
23,52:41:00,,Zeitstrafe vorbei SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
24,52:10:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,1,0,1,0,0
25,51:56:00,,Lukas Mertens von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
26,51:24:00,,Luca Witzke von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
27,51:21:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,SC Magdeburg,SC DHfK Leipzig,0,0,0,1,0,1,0,0
28,50:48:00,27:18:00,Kay Smits (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 27:18.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
29,50:46:00,,2-Minuten-Strafe für Matej Klima. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC Magdeburg,SC DHfK Leipzig,0,0,0,0,0,1,1,0
