,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:54:00,,Omar Ingi Magnusson (SC Magdeburg) scheitert von der 7-Meter Linie.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
2,59:50:00,,Tim Suton (TBV Lemgo Lippe) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,1,0
3,59:18:00,37:33:00,Lukas Zerbe (TBV Lemgo Lippe) trifft zum Spielstand von 37:33 in GETEC Arena.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
4,58:37:00,37:32:00,Tor (RM/fern)! Lukas Mertens (SC Magdeburg) netzt ein zum neuen Spielstand von 37:32.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
5,58:34:00,,"Chance für Tim Suton (TBV Lemgo Lippe), er trifft aber nur den Pfosten.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
6,58:21:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
7,58:09:00,,Omar Ingi Magnusson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
8,57:32:00,,Nikola Portner (SC Magdeburg) mit einer Parade.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
9,57:07:00,36:32:00,"Tor Nikola Portner, SC Magdeburg",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
10,56:37:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
11,56:33:00,35:32:00,Lukas Mertens (SC Magdeburg) trifft zum Spielstand von 35:32 in GETEC Arena.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
12,56:09:00,34:32:00,Gedeon Guardiola (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 34:32.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
13,55:47:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
14,55:22:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
15,54:27:00,34:31:00,Lukas Zerbe (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in GETEC Arena: 34:31.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
16,54:00:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
17,53:44:00,,"Wurf von Omar Ingi Magnusson (SC Magdeburg), aber der Ball landet nur am Pfosten.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
18,53:17:00,34:30:00,Tor! Samuel Zehnder (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 34:30.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
19,53:06:00,,Der Wurf von Lukas Mertens (SC Magdeburg) landet hinter dem Tor.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
20,52:02:00,,Tim Suton von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
21,51:41:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
22,51:35:00,,"Neuer Spielstand in Magdeburg, 34:29 durch den Treffer von Lucas Meister für SC Magdeburg.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
23,34:29:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
24,33:29:00,,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 33:29.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
25,50:33:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
26,50:10:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
27,50:06:00,,"Neuer Spielstand in Magdeburg, 33:28 durch den Treffer RM/fern von Philipp Weber für SC Magdeburg.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
28,33:28:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
29,32:28:00,,Tor! Emil Buhl Lærke (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 32:28.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
30,49:18:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
31,48:35:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
32,48:31:00,,"Neuer Spielstand in Magdeburg, 32:27 durch den Treffer von Kay Smits für SC Magdeburg.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
33,32:27:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
34,48:00:00,,Auszeit SC Magdeburg,SC Magdeburg,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
35,31:27:00,,"Neuer Spielstand in Magdeburg, 31:27 durch den Treffer 6M von Lukas Hutecek für TBV Lemgo Lippe.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
36,47:47:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
37,47:19:00,,"Neuer Spielstand in Magdeburg, 31:26 durch den Treffer von Magnus Saugstrup für SC Magdeburg.",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
38,31:26:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
39,47:03:00,,Zeitstrafe vorbei TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
40,46:44:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,SC Magdeburg,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
41,46:36:00,,Überragende Parade des Torwarts Borko Ristovski (TBV Lemgo Lippe)! Matthias Musche kann den Ball nicht im Tor unterbringen!,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
42,46:03:00,,Tor (RR/fern)! Tim Suton (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 30:26.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
43,45:58:00,,Der Wurfversuch von Emil Buhl Lærke (TBV Lemgo Lippe) wurde durch einen Block von Piotr Chrapkowski verhindert.,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
44,45:03:00,,"Neuer Spielstand in Magdeburg, 30:25 durch den Treffer von Philipp Weber (RM/fern).",SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
45,30:25:00,,,SC Magdeburg,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
