,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:42:00,33:34:00,Magnus Saugstrup (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 33:34.,SC Magdeburg,THW Kiel,0,0,0,0,0,1,0,0
2,59:33:00,32:34:00,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 32:34.,SC Magdeburg,THW Kiel,0,0,0,0,0,1,0,0
3,59:21:00,,Auszeit THW Kiel,SC Magdeburg,THW Kiel,0,1,0,0,0,1,0,0
4,59:09:00,,Siebter Spieler eingewechselt THW Kiel,SC Magdeburg,THW Kiel,0,0,0,1,0,1,0,0
5,58:58:00,32:33:00,Omar Ingi Magnusson (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 32:33.,SC Magdeburg,THW Kiel,0,0,0,0,0,1,0,0
6,58:54:00,,"Patrick Wiencek (THW Kiel) wird für die verbleibende Spielzeit dieses Spiels disqualifiziert und muss das Spielfeld umgehend verlassen!
",SC Magdeburg,THW Kiel,0,0,0,0,0,1,1,0
7,58:46:00,,Auszeit SC Magdeburg,SC Magdeburg,THW Kiel,1,0,0,0,0,0,0,0
8,58:46:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,THW Kiel,0,0,1,0,0,0,0,0
9,58:28:00,,Überragende Parade des Torwarts Nikola Portner (SC Magdeburg)! Steffen Weinhold kann den Ball nicht im Tor unterbringen!,SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
10,57:54:00,31:33:00,Tor (6M)! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 31:33.,SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
11,57:41:00,,Eric Johansson (THW Kiel) trifft nur den Pfosten.,SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
12,55:22:00,30:33:00,Miha Zarabec (THW Kiel) trifft von (RR/fern). Neuer Spielstand in GETEC Arena: 30:33.,SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
13,54:59:00,30:32:00,"Neuer Spielstand in Magdeburg, 30:32 durch den Treffer 6M von Tim Hornke für SC Magdeburg.",SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
14,54:34:00,,Siebter Spieler eingewechselt THW Kiel,SC Magdeburg,THW Kiel,0,0,0,1,0,0,0,0
15,54:25:00,29:32:00,"Neuer Spielstand in Magdeburg, 29:32 durch den Treffer von Lukas Mertens für SC Magdeburg.",SC Magdeburg,THW Kiel,0,0,0,0,0,0,0,0
