Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,23:21,Tor (6M)! Kay Smits (SC Magdeburg) netzt ein zum neuen Spielstand von 23:21.,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
59:47:00,,Auszeit SC Magdeburg,SC Magdeburg,Bergischer HC,1,0,0,0,1,0,0,0
59:29:00,22:21,Tor! Djibril M'Bengue (Bergischer HC) netzt ein zum neuen Spielstand von 22:21.,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
59:21:00,,Lucas Meister (SC Magdeburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,1
59:09:00,22:20,Gisli Thorgeir Kristjansson (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 22:20.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
58:26:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
58:05:00,21:20,Noah Beyer (Bergischer HC) trifft zum Spielstand von 21:20 in GETEC Arena.,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
57:58:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Tim Hornke kann den Ball nicht im Tor unterbringen!,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
57:54:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
56:58:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,Bergischer HC,0,0,1,0,1,0,0,0
56:41:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,0
56:23:00,,Es gibt eine 2 Minuten Strafe für Piotr Chrapkowski (SC Magdeburg).,SC Magdeburg,Bergischer HC,0,0,0,0,1,0,0,1
55:37:00,21:19,Kay Smits (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 21:19.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
55:03:00,,"Block von Piotr Chrapkowski, der den Torwurf von Djibril M'Bengue verhindert.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
54:40:00,,Piotr Chrapkowski blockt den Wurf von Linus Arnesson.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
53:46:00,,Auszeit Bergischer HC,SC Magdeburg,Bergischer HC,0,1,0,0,0,0,0,0
53:17:00,20:19,"Tor von der 7-Meter Linie von Kay Smits (SC Magdeburg), neuer Spielstand 20:19.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
52:27:00,,Isak Persson von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
52:23:00,,Parade von Torwart Mike Jensen (SC Magdeburg).,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
51:32:00,19:19,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 19:19.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
50:58:00,18:19,Isak Persson (Bergischer HC) überwindet den Torwart von (RA) zum neuen Spielstand von 18:19.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
50:27:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
50:04:00,,Auszeit SC Magdeburg,SC Magdeburg,Bergischer HC,1,0,0,0,0,0,0,0
48:28:00,18:18,Tor (RM/fern)! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 18:18.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
47:57:00,17:18,Tom Kare Nikolaisen (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 17:18.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
47:17:00,17:17,Michael Damgaard (SC Magdeburg) trifft zum Spielstand von 17:17 in GETEC Arena.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
46:50:00,,Lukas Stutzke von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
46:23:00,,Lucas Meister von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
46:18:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Michael Damgaard.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
44:55:00,16:17,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 16:17.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
44:20:00,15:17,"Neuer Spielstand in Magdeburg, 15:17 durch den Treffer von Elias Scholtes für Bergischer HC.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
43:50:00,15:16,Lucas Meister (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 15:16.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
43:03:00,14:16,"Neuer Spielstand in Magdeburg, 14:16 durch den Treffer 6M von Linus Arnesson für Bergischer HC.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
42:56:00,,Der Wurf von Linus Arnesson (Bergischer HC) landet hinter dem Tor.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
42:18:00,14:15,Tor! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 14:15.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
41:38:00,,Daniel Pettersson (SC Magdeburg) scheitert am Torwart Christopher Rudeck (Bergischer HC).,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
41:06:00,13:15,Kay Smits (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 13:15.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
40:22:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Isak Persson.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
40:10:00,,Gisli Thorgeir Kristjansson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
40:02:00,12:15,Linus Arnesson (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in GETEC Arena: 12:15.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
39:16:00,12:14,Kay Smits (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 12:14.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
39:05:00,11:14,"Neuer Spielstand in Magdeburg, 11:14 durch den Treffer von Elias Scholtes für Bergischer HC.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
38:58:00,,Zeitstrafe vorbei Bergischer HC,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
38:39:00,,Zeitstrafe vorbei Bergischer HC,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
38:38:00,,Siebter Spieler eingewechselt Bergischer HC,SC Magdeburg,Bergischer HC,0,0,0,1,0,1,0,0
38:26:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Matthias Musche.",SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
38:10:00,11:13,"Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 11:13.",SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
37:27:00,,Siebter Spieler eingewechselt Bergischer HC,SC Magdeburg,Bergischer HC,0,0,0,1,0,1,0,0
37:21:00,11:12,"Neuer Spielstand in Magdeburg, 11:12 durch den Treffer LA von Matthias Musche für SC Magdeburg.",SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
36:58:00,,Christopher Rudeck (Bergischer HC) bleibt Sieger im 7-Meter-Duell gegen Kay Smits (SC Magdeburg).,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
36:55:00,,Der Schiedsrichter zeigt Arnor Thor Gunnarsson (Bergischer HC) die Rote Karte.,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,1,0
36:55:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,0,0
36:37:00,,Djibril M'Bengue geht den Gegner zu stark an. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC Magdeburg,Bergischer HC,0,0,0,0,0,1,1,0
36:26:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Elias Scholtes.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
35:54:00,,Bergischer HC wechselt den Torwart. Christopher Rudeck kommt für Peter Johannesson.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
35:44:00,10:12,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
35:34:00,,Peter Johannesson (Bergischer HC) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
34:57:00,,Fehlwurf von Lukas Stutzke (Bergischer HC).,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
34:02:00,9:12,Tor! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 9:12.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
33:19:00,8:12,Noah Beyer (Bergischer HC) trifft zum Spielstand von 8:12 in GETEC Arena.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
32:47:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
32:34:00,,Parade von Torwart Mike Jensen (SC Magdeburg).,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
32:06:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
30:58:00,8:11,Elias Scholtes (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 8:11.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
,,HALBZEIT (8:10),SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
29:58:00,8:10,Tor (LA)! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 8:10.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
29:12:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Kay Smits kann den Ball nicht im Tor unterbringen!,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
28:27:00,8:09,Tor (6M)! Lukas Stutzke (Bergischer HC) netzt ein zum neuen Spielstand von 8:9.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
27:55:00,8:08,Noah Beyer (Bergischer HC) trifft von (LA). Neuer Spielstand in GETEC Arena: 8:8.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
27:21:00,,Philipp Weber (SC Magdeburg) scheitert am Torwart Christopher Rudeck (Bergischer HC).,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
27:10:00,8:07,Tor! Tom Kare Nikolaisen (Bergischer HC) netzt ein zum neuen Spielstand von 8:7.,SC Magdeburg,Bergischer HC,0,0,0,0,0,0,0,0
