Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,"Tor! Es war Mathias Gidsel (Füchse Berlin), der das Tor von Max Darj vorbereitete.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
59:46:00,,Kay Smits von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
58:56:00,,Mathias Gidsel (Füchse Berlin) tankt sich durch und erzielt einen Treffer zum 34:28.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
58:15:00,34:27:00,Tor für SC Magdeburg durch Lukas Mertens nach einem Pass von Philipp Weber.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
57:21:00,,"Max Darj (6M) wirft, jedoch neben das Tor.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
56:56:00,34:26:00,"Tor! Es war Gisli Thorgeir Kristjansson (SC Magdeburg), der das Tor von Oscar Bergendahl vorbereitete.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
56:55:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,Füchse Berlin,0,0,0,0,1,0,0,0
54:50:00,33:26:00,Die Vorbereitung von Fabian Wiede (Füchse Berlin) führt zum Treffer durch Robert Weber.,SC Magdeburg,Füchse Berlin,0,0,0,0,1,0,0,0
54:41:00,,Oscar Bergendahl von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Füchse Berlin,0,0,0,0,1,0,0,0
54:24:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,Füchse Berlin,0,0,1,0,1,0,0,0
54:12:00,32:26:00,"Tor von der 7-Meter Linie von Robert Weber (Füchse Berlin), neuer Spielstand 32:26.",SC Magdeburg,Füchse Berlin,0,0,0,0,1,0,0,0
54:10:00,,Tim Hornke (SC Magdeburg) erhält eine 2 Minuten Strafe.,SC Magdeburg,Füchse Berlin,0,0,0,0,1,0,0,1
53:43:00,32:25:00,Kay Smits (SC Magdeburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 32:25.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
53:20:00,,Auszeit SC Magdeburg,SC Magdeburg,Füchse Berlin,1,0,0,0,0,0,0,0
53:03:00,31:25:00,Tor! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 31:25.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
52:53:00,,Kay Smits von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
52:38:00,,Mike Jensen (SC Magdeburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
52:21:00,31:24:00,"Neuer Spielstand in Magdeburg, 31:24 durch den Treffer von Robert Weber für Füchse Berlin.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
51:44:00,31:23:00,Gisli Thorgeir Kristjansson (SC Magdeburg) trifft von (RM/fern). Neuer Spielstand in GETEC Arena: 31:23.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
51:07:00,30:23:00,Tor! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 30:23.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
50:57:00,,"Der Torwart von Füchse Berlin, Dejan Milosavljev pariert den Wurf.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
50:19:00,30:22:00,"Neuer Spielstand in Magdeburg, 30:22 durch den Treffer LA von Milos Vujovic für Füchse Berlin.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
49:46:00,,Gisli Thorgeir Kristjansson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
48:46:00,30:21:00,"Neuer Spielstand in Magdeburg, 30:21 durch den Treffer von Jacob Holm für Füchse Berlin.",SC Magdeburg,Füchse Berlin,0,0,0,0,0,0,0,0
