Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,,Auszeit SC Magdeburg,SC Magdeburg,Hannover-Burgdorf,1,0,0,0,0,0,0,0
59:46:00,31:30:00,Branko Vujovic (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 31:30.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:21:00,31:29:00,"Neuer Spielstand in Magdeburg, 31:29 durch den Treffer 6M von Uladzislau Kulesh für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:09:00,31:28:00,59:09:00 - Gisli Thorgeir Kristjansson (SC Magdeburg) trifft zum Spielstand von 31:28 in GETEC Arena.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:04:00,,Lucas Meister blockt den Wurf von Marian Michalczik.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:40:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
57:27:00,30:28:00,57:27:00 - Gisli Thorgeir Kristjansson (SC Magdeburg) trifft von (6M). Neuer Spielstand in GETEC Arena: 30:28.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:46:00,,"Renars Uscins wirft auf das Tor, trifft aber nur den Pfosten.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:16:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Michael Damgaard.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:45:00,,Fehlwurf von Martin Hanne (Hannover-Burgdorf).,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:35:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:09:00,29:28:00,Marius Steinhauser (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 29:28.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:29:00,,"Martin Hanne (RM/fern) wirft, jedoch neben das Tor.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:59:00,29:27:00,Tor! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 29:27.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:00:00,,Überragende Parade des Torwarts Mike Jensen (SC Magdeburg)! Vincent Büchner kann den Ball nicht im Tor unterbringen!,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:28:00,,Auszeit SC Magdeburg,SC Magdeburg,Hannover-Burgdorf,1,0,0,0,0,0,0,0
52:27:00,28:27:00,"Neuer Spielstand in Magdeburg, 28:27 durch den Treffer von Marius Steinhauser für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:23:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Michael Damgaard.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:27:00,,Marius Steinhauser (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in GETEC Arena: 28:26.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:21:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner pariert den Wurf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:57:00,,Tor (6M)! Justus Fischer (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 28:25.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:39:00,,Yves Grafenhorst von SC Magdeburg wurde mit der Gelben Karte von Otto/Piper verwarnt.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:23:00,27:24:00,"Neuer Spielstand in Magdeburg, 27:24 durch den Treffer 6M von Marius Steinhauser für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49:51:00,,49:41:00 - Michael Damgaard (SC Magdeburg) trifft zum Spielstand von 27:23 in GETEC Arena.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49:12:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45:43:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,0,0,1,0,1,0,0
45:33:00,25:22:00,Der 7-Meter wurde von Kay Smits (SC Magdeburg) erfolgreich verwandelt.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45:29:00,,Justus Fischer (Hannover-Burgdorf) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,1,1,0
45:00:00,24:22:00,"Neuer Spielstand in Magdeburg, 24:22 durch den Treffer von Justus Fischer für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44:43:00,,44:43:00 - Kay Smits (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 24:21.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:58:00,23:21,"Neuer Spielstand in Magdeburg, 23:21 durch den Treffer RM/fern von Marius Steinhauser für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:19:00,,Renars Uscins (Hannover-Burgdorf) trifft zum Spielstand von 23:20 in GETEC Arena.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:06:00,,Michael Damgaard (SC Magdeburg) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
42:19:00,,Tor (RM/fern)! Martin Hanne (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 23:19.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41:59:00,22:18,Torwartwechsel bei Hannover-Burgdorf. Domenico Ebner kommt für Dario Quenstedt.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:37:00,,40:37:00 - Tor! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 22:17.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:20:00,,Der eingewechselte Torwart Mike Jensen (SC Magdeburg) steht nun zwischen den Pfosten.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:12:00,21:17,"Neuer Spielstand in Magdeburg, 21:17 durch den Treffer 6M von Maximilian Gerbl für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:09:00,,"Der Towart von SC Magdeburg, Nikola Portner pariert den gegebenen 7-Meter.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39:56:00,,"Der Trainer von SC Magdeburg, Bennet Wiegert stellt nun Nikola Portner zwischen die Pfosten.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39:34:00,,Auszeit Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,1,0,0,0,0,0,0
39:32:00,21:16,"Tor Kay Smits, SC Magdeburg",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39:11:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
39:08:00,,Torwartwechsel bei Hannover-Burgdorf. Dario Quenstedt kommt für Domenico Ebner.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39:05:00,20:16,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:16.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38:51:00,,Hannover-Burgdorf wechselt den Torwart. Domenico Ebner kommt für Dario Quenstedt.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38:21:00,19:16,Ilija Brozovic (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in GETEC Arena: 19:16.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38:01:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
37:49:00,19:15,Tor (6M)! Matthias Musche (SC Magdeburg) netzt ein zum neuen Spielstand von 19:15.,SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37:21:00,18:15,"Neuer Spielstand in Magdeburg, 18:15 durch den Treffer von Hannes Feise für Hannover-Burgdorf.",SC Magdeburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36:53:00,,Auszeit Hannover-Burgdorf,SC Magdeburg,Hannover-Burgdorf,0,1,0,0,0,0,0,0
