Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,,Michael Damgaard (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 30:28.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:22:00,29:28:00,Gøran Søgard Johannessen (SG Flensburg-Handewitt) trifft von (RM/fern). Neuer Spielstand in GETEC Arena: 29:28.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:14:00,,Michael Damgaard (SC Magdeburg) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:09:00,,Hans Aaron Mensing (SG Flensburg-Handewitt) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 29:27.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:54:00,29:27:00,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
57:46:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Kay Smits kann den Ball nicht im Tor unterbringen!,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:08:00,,"Neuer Spielstand in Magdeburg, 29:26 durch den Treffer von Simon Hald Jensen für SG Flensburg-Handewitt.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:55:00,29:26:00,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
55:47:00,29:25:00,Johan Hansen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 28:25.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:10:00,28:25:00,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
53:40:00,,"Parade des Torwarts von SC Magdeburg, Mike Jensen.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
53:30:00,,Auszeit SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
53:19:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
53:04:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
52:40:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
51:54:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
50:55:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
50:45:00,26:23:00,Der 7-Meter wurde von Emil Jakobsen (SG Flensburg-Handewitt) erfolgreich verwandelt.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
49:39:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:35:00,,Der Wurfversuch von Hans Aaron Mensing (SG Flensburg-Handewitt) wurde durch einen Block von Piotr Chrapkowski verhindert.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:35:00,,Auszeit SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
48:53:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
48:47:00,25:22:00,Tor (RL/fern)! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 25:22.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:12:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:38:00,,"Parade des Torwarts von SC Magdeburg, Mike Jensen.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:10:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
46:44:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
46:37:00,,Auszeit SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,1,0,0,0,1,0,0,0
46:37:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
46:05:00,23:22,Tor! Johan Hansen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 23:22.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
45:50:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,1,1,0,0,0
45:39:00,,Michael Damgaard von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
45:24:00,,2-Minuten-Strafe für Magnus Abelvik Rød. SG Flensburg-Handewitt muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
45:02:00,,Siebter Spieler eingewechselt SC Magdeburg.,SC Magdeburg,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
44:57:00,,Mike Jensen (SC Magdeburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
44:48:00,23:21,"Tor von der 7-Meter Linie von Emil Jakobsen (SG Flensburg-Handewitt), neuer Spielstand 23:21.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
44:42:00,,Nun wird Nikola Portner für SC Magdeburg im Tor stehen.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
44:42:00,,"Nach einem harten Foul hat Piotr Chrapkowski (SC Magdeburg) nun zwei Minuten Zeit, um sich auszuruhen.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
44:33:00,23:20,"Neuer Spielstand in Magdeburg, 23:20 durch den Treffer 6M von Christian O'Sullivan für SC Magdeburg.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:55:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Johan Hansen.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:45:00,22:20,Michael Damgaard (SC Magdeburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 22:20.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:15:00,21:20,"Tor von der 7-Meter Linie von Emil Jakobsen (SG Flensburg-Handewitt), neuer Spielstand 21:20.",SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
42:36:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Michael Damgaard.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
41:56:00,,Johan Hansen (SG Flensburg-Handewitt) scheitert von der 7-Meter Linie.,SC Magdeburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
