Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Der Trainer von TVB Stuttgart, Michael Schweikardt stellt nun Silvio Heinevetter zwischen die Pfosten.",SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
59:59:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
59:46:00,31:27:00,Marko Bezjak (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 31:27.,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
59:36:00,,Auszeit SC Magdeburg,SC Magdeburg,TVB Stuttgart,1,0,0,0,1,0,0,0
59:18:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,1,0,1,0,0,0
59:07:00,30:27:00,Tor! Patrick Zieker (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:27.,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
58:45:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic hält den Wurf von Gisli Thorgeir Kristjansson.",SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
58:03:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,1,0,1,0,0,0
57:59:00,,Piotr Chrapkowski (SC Magdeburg) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,1
57:55:00,,Egon Hanusz von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
57:43:00,,Auszeit TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,1,0,0,0,0,0,0
57:43:00,,Siebter Spieler eingewechselt TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,0,0,1,0,0,0,0
57:32:00,,"Philipp Weber (RL/fern) wirft, jedoch neben das Tor.",SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
57:01:00,,Zeitstrafe vorbei SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
56:38:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,1,0,1,0,0,0
55:59:00,,"Parade des Torwarts von TVB Stuttgart, Miljan Vujovic.",SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
55:10:00,,Siebter Spieler eingewechselt SC Magdeburg,SC Magdeburg,TVB Stuttgart,0,0,1,0,1,0,0,0
55:00:00,30:26:00,Der 7-Meter wurde von Sascha Pfattheicher (TVB Stuttgart) erfolgreich verwandelt.,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,0
54:59:00,,Magnus Saugstrup (SC Magdeburg) erhält eine 2 Minuten Strafe.,SC Magdeburg,TVB Stuttgart,0,0,0,0,1,0,0,1
54:49:00,,Lukas Mertens von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
54:40:00,,Siebter Spieler eingewechselt TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,0,0,1,0,0,0,0
53:43:00,30:25:00,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 30:25.,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
52:52:00,,"Gute Torchance, aber Ivan Sliskovic (TVB Stuttgart) kann diese nicht erfolgreich verwandeln.",SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
52:13:00,,Siebter Spieler eingewechselt TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,0,0,1,0,0,0,0
51:36:00,29:25:00,Ivan Sliskovic (TVB Stuttgart) trifft zum Spielstand von 29:25 in GETEC Arena.,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
51:31:00,,Siebter Spieler eingewechselt TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,0,0,1,0,0,0,0
51:19:00,,Überragende Parade des Torwarts Miljan Vujovic (TVB Stuttgart)! Vladan Lipovina kann den Ball nicht im Tor unterbringen!,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
50:49:00,,Adam Lönn blockt den Wurf von Philipp Weber.,SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
50:13:00,,Auszeit SC Magdeburg,SC Magdeburg,TVB Stuttgart,1,0,0,0,0,0,0,0
49:45:00,29:24:00,"Neuer Spielstand in Magdeburg, 29:24 durch den Treffer 6M von Daniel Fernandez Jimenez für TVB Stuttgart.",SC Magdeburg,TVB Stuttgart,0,0,0,0,0,0,0,0
49:24:00,,Siebter Spieler eingewechselt TVB Stuttgart,SC Magdeburg,TVB Stuttgart,0,0,0,1,0,0,0,0
