Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:22:00,,"Neuer Spielstand in Magdeburg, 41:29 durch den Treffer RR/fern von Tom Jansen für VfL Gummersbach.",SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
59:20:00,,"Der Torwart von SC Magdeburg, Nikola Portner hält den Wurf von Ellidi Snaer Vidarsson.",SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
59:06:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
58:56:00,,Gisli Thorgeir Kristjansson von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
57:41:00,40:28:00,Tom Jansen (VfL Gummersbach) legt den Treffer von Julian Köster auf. Es steht 40:28.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
57:28:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
57:17:00,40:27:00,"Neuer Spielstand in Magdeburg, 40:27 durch den Treffer RM/fern von Michael Damgaard für SC Magdeburg.",SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
56:39:00,,Die Vorbereitung von Tom Jansen (VfL Gummersbach) führt zum Treffer durch Ellidi Snaer Vidarsson.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
56:35:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
56:27:00,39:26:00,Kay Smits (SC Magdeburg) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 39:26.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
55:39:00,38:26:00,Ole Pregler (VfL Gummersbach) trifft von (RM/fern). Neuer Spielstand in GETEC Arena: 38:26.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
55:20:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
55:11:00,38:25:00,"Neuer Spielstand in Magdeburg, 38:25 durch den Treffer von Michael Damgaard für SC Magdeburg.",SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
54:38:00,37:25:00,"Tor! Es war Tom Jansen (VfL Gummersbach), der das Tor von Lukas Blohme vorbereitete.",SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
54:25:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
54:14:00,,Der Wurf von Nikola Portner (SC Magdeburg) landet hinter dem Tor.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
54:07:00,,Nikola Portner (SC Magdeburg) hält den Wurf von Tom Jansen.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
53:45:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
53:42:00,,VfL Gummersbach wechselt den Torwart. Tibor Ivanisevic kommt für Fabian Norsten.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
53:30:00,37:24:00,Die Vorbereitung von Kay Smits (SC Magdeburg) führt zum Treffer durch Matthias Musche.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
52:57:00,36:24:00,Tor für VfL Gummersbach durch Tilen Kodrin nach einem Pass von Julian Köster.,SC Magdeburg,VfL Gummersbach,0,0,0,0,0,0,0,0
52:43:00,,Siebter Spieler eingewechselt VfL Gummersbach.,SC Magdeburg,VfL Gummersbach,0,0,0,1,0,0,0,0
