Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurfversuch von Lasse Kjær Møller (SG Flensburg-Handewitt) wurde durch einen Block von Djibril M'Bengue verhindert.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
59:24:00,30:17:00,Alexander Weck (Bergischer HC) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:17.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
58:42:00,30:16:00,"Neuer Spielstand in Flensburg, 30:16 durch den Treffer LA von August Baskar Pedersen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
58:31:00,,Alexander Weck von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
58:07:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller pariert den Wurf.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
57:59:00,,Anton Lindskog von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
57:20:00,29:16:00,"Neuer Spielstand in Flensburg, 29:16 durch den Treffer 6M von Frederik Ladefoged für Bergischer HC.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
56:47:00,,Louis Oberosler (Bergischer HC) hält den Wurf von August Baskar Pedersen.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
56:06:00,29:15:00,Tor (6M)! Gøran Søgard Johannessen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 29:15.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
55:54:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Kevin Møller.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
54:36:00,,"Fabian Gutbrod (RM/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
54:05:00,28:15:00,August Baskar Pedersen (SG Flensburg-Handewitt) trifft zum Spielstand von 28:15 in Campushalle.,SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
53:29:00,,"Neuer Spielstand in Flensburg, 27:15 durch den Treffer von Linus Arnesson für Bergischer HC.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
52:57:00,,"Block von Anton Lindskog, der den Torwurf von Linus Arnesson verhindert.",SG Flensburg-Handewitt,Bergischer HC,0,0,0,0,0,0,0,0
