,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:46:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
2,59:13:00,27:24:00,Gøran Søgard Johannessen (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 27:24.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
3,59:07:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
4,58:54:00,,Es gibt Gelb für Maik Machulla (SG Flensburg-Handewitt) von Otto/Piper.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
5,58:49:00,26:24:00,Tor (LA)! Till Hermann (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 26:24.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
6,58:35:00,,Auszeit FRISCH AUF! Göppingen,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,1,0,0,1,0,0,0
7,58:17:00,26:23:00,"Neuer Spielstand in Flensburg, 26:23 durch den Treffer von Johannes Golla für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
8,58:13:00,,Torwartwechsel bei SG Flensburg-Handewitt. Benjamin Buric kommt für Kevin Møller.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
9,57:14:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
10,57:07:00,25:23:00,Marcel Schiller (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
11,57:01:00,,SG Flensburg-Handewitt wechselt den Torwart. Kevin Møller kommt für Benjamin Buric.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
12,56:59:00,,"Nach einem harten Foul hat Simon Hald Jensen (SG Flensburg-Handewitt) nun zwei Minuten Zeit, um sich auszuruhen.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,1
13,56:18:00,,Überragende Parade des Torwarts Daniel Rebmann (FRISCH AUF! Göppingen)! Hans Aaron Mensing kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
14,55:40:00,25:22:00,Tor! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 25:22.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
15,55:16:00,25:21:00,Teitur Örn Einarsson (SG Flensburg-Handewitt) trifft zum Spielstand von 25:21 in Flens-Arena.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
16,54:37:00,,"Der Torwart von SG Flensburg-Handewitt, Benjamin Buric pariert den Wurf.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
17,54:03:00,,Parade von Torwart Daniel Rebmann (FRISCH AUF! Göppingen).,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
18,53:46:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
19,53:02:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
20,52:22:00,24:21:00,"Neuer Spielstand in Flensburg, 24:21 durch den Treffer 6M von August Baskar Pedersen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
21,52:10:00,,"Wurf von Jon Lindenchrone Andersen (FRISCH AUF! Göppingen), aber der Ball landet nur am Pfosten.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
22,51:59:00,,"Hans Aaron Mensing (RM/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
23,51:58:00,,Gilberto Brito Duarte blockt den Wurf von Teitur Örn Einarsson.,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
24,50:49:00,,"Tim Kneule (RM/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
